node_1,node_2,edge
the prestige,christopher priest (author),The production of the movie 'The Prestige' is based on Christopher Priest's novel.
julian jarrold's and sam mendes's producer,christopher priest (author),The producer approached Christopher Priest for an adaptation of his novel 'The Prestige'.
christopher nolan,julian jarrold's and sam mendes's producer,"After being impressed with Christopher Nolan's films 'Following' and 'Memento', the producer brought the book to his attention."
valerie dean,christopher priest (author),She brought Christopher Priest's novel 'The Prestige' to Christopher Nolan's attention.
newmarket films,aaron ryder,They purchased the option on the book 'The Prestige' after it became available.
jonathan nolan,christopher nolan,He helped work on the script for 'The Prestige' when his brother was busy with the post-production of 'Insomnia'.
three-act screenplay,the nolans,It was a long collaboration between the brothers that occurred intermittently over a period of five years for 'The Prestige'.
stage magic,the nolans,"They emphasized the magic of the story through the dramatic narrative in the script, playing down its visual depiction."
magic,story,emphasized the magic of the story through the dramatic narrative
stage magic,visual depiction,playing down the visual depiction of stage magic
three elements,film's illusion,"deliberately structured around the three elements of the film's illusion: the pledge, the turn, and the prestige"
literary devices,intrigue of the story,"the shifting points of view, the idea of journals within journals and stories within stories"
cinematic equivalents,literary devices,finding the cinematic equivalents of those literary devices was very complex
modern-day frame story,plot structure,replaced with Borden's wait for the gallows
priest,adaptation,"described it as ""an extraordinary and brilliant script, a fascinating adaptation of my novel."""
nolan,directing,"started up the project again, negotiating with Jackman and Bale in October 2005."
hartnett,role,pitched Nolan for a role.
set design,production,"while the screenplay was still being written, production designer Nathan Crowley began the set design"
josh hartnett,nolan,Josh Hartnett pitched Nolan for a role.
screenplay,nolan's garage,"production designer Nathan Crowley began the set design process in Nolan's garage, employing a 'visual script' consisting of scale models, images, drawings, and notes while the screenplay was still being written."
january 13,final shooting draft,Jonathan and Christopher Nolan finished the final shooting draft on January 13
january 16,production,Began production three days later on January 16.
los angeles,fin de siècle london,Crowley and his crew searched Los Angeles for almost seventy locations that resemble fin de siècle London.
jonathan nolan,colorado springs,Jonathan Nolan visited Colorado Springs to research Nikola Tesla and based the electric bulb scene on actual experiments conducted by Tesla.
tesla's invention,electric bulb scene,Nathan Crowley helped design the scene for Tesla's invention; It was shot in the parking lot of the Mount Wilson Observatory.
broadway theater district,victorian london,"Crowley chose four locations in the Broadway theater district in downtown Los Angeles for the film's stage magic performances: the Los Angeles Theatre, the Palace Theatre, the Los Angeles Belasco, and the Tower Theatre."
universal back lot,victorian england,"Nolan built only one set for the film, an 'under-the-stage section that houses the machinery that makes the larger illusions work,' preferring to simply dress various Los Angeles locations and sound stages to stand in for Colorado and Victorian England."
handheld cameras,quick pace of production,Nolan kept up the quick pace of production by shooting with handheld cameras in contrast to most period pieces.
natural light on location,refrained from using artificial lighting in some scenes,Nolan refrained from using artificial lighting in some scenes and relied instead on natural light on location.
modern victorian fashions,attractive fashion choices for scarlett johansson by costume designer joan bergin,"Joan Bergin chose attractive, modern Victorian fashions for Scarlett Johansson in The Prestige."
earth tones,soft earth tones,Wally Pfister captured the mood with soft earth tones in The Prestige.
white and black colors,background contrasts,"White and black colors provided background contrasts, bringing actors' faces to the foreground in The Prestige."
stage magicians,explore the world of stage magicians,"The Prestige was one of three films in 2006 to explore the world of stage magicians, along with The Illusionist and Scoop."
