node_1,node_2,edge
silent film,michel hazanavicius,Michel Hazanavicius had been fantasizing about making a silent film for many years.
michel hazanavicius,jean dujardin,"Director Michel Hazanavicius wanted to work again with actors Jean Dujardin and Bérénice Bejo, who had both starred in OSS 117: Cairo, Nest of Spies."
silent film,melodrama,Director Michel Hazanavicius chose the form of a melodrama for his silent film.
silent film,comprehensible,"To make the story comprehensible without having to use too many intertitles, director Michel Hazanavicius did extensive research about 1920s Hollywood and studied silent films."
silent film,show people,"The screenplay for the silent film was principally inspired by the 1928 silent comedy, Show People."
screenplay,douglas fairbanks,principally inspired by Douglas Fairbanks
filming,silent film era,aesthetically matched silent films of the period
the artist,silent films of the period,aesthetically matched silent films of the period
the artist,classic hollywood films,Hazanavicius played music from classic Hollywood films while the actors performed
la petite reine,arp sélection,both French production companies that co-produced the film
studio 37,france 3 cinéma,both provided co-production support for the film
studiocanal,cinécinéma,both invested in pre-sales of the film
los angeles,hollywood,both served as filming locations for The Artist
red studios,lillian way entrance,"both appeared in The Artist, with the latter serving as a doubling location"
bradbury building,the artist's distinctive staircase,location for both in The Artist
mary pickford,the house where she lived,both appeared as filming locations in The Artist
dujardin,bejo,"both required extensive tap dancing training for the dance sequence that closes the film, taking seventeen takes and five months to perfect"
mark bridges,the artist's cast,Bridges created the wardrobe for both in The Artist
ludovic bource,other composers such as alberto ginastera's 'estancia',both appeared in The Artist's music
bernard herrmann's 'scène d'amour',vertigo,The film's climactic scene is set to Bernard Herrmann's 'Scène d'amour' from his score to Alfred Hitchcock's film Vertigo.
bernard herrmann's 'scène d'amour',hitchcock's film vertigo,This composition similarly accompanies an extended scene without dialogue in the film.
rose 'chi-chi' murphy,'pennies from heaven',"Only one song (sung, with lyrics) is used in the soundtrack, 'Pennies from Heaven', sung by Rose 'Chi-Chi' Murphy (uncredited)."
1936,'pennies from heaven',This song was written in 1936 although the film is set between 1927 and 1932.
april 2011,recording,The recording took place during six days in April 2011 at Flagey's Studio 4 in Brussels.
brussels philharmonic,recording,The soundtrack was recorded by the Brussels Philharmonic
ernst van tiel,recording,and was conducted by Ernst Van Tiel;
brussels jazz orchestra,cooperation,the Brussels Jazz Orchestra also cooperated.
