node_1,node_2,edge
sean gunn,karen gillan,"both actors appear in the movie's cast, implying a possible relationship between their characters in the story"
sean gunn,michael rooker,"both actors appear in the movie's cast and have previously portrayed related characters (Gunn played Kraglin in Guardians of the Galaxy Vol. 1 and Vol. 2, while Rooker played Yondu in both films), suggesting a potential continuity between their characters in the story"
sean gunn,pom klementieff,"both actors appear in the movie's cast, implying a possible relationship between their characters in the story"
chris pratt,gamora (zoe saldaña),"both characters appear in the movie's cast, and the text mentions that Gamora's new version serves as a member of the Ravagers, implying a possible relationship between their characters in the story"
zoe saldaña,gamora (original version),"both versions of Gamora are mentioned as having been killed and resurrected respectively, implying a possible relationship between their characters in the story"
dave bautista as drax the destroyer,ronan the accuser,Drax's family was slaughtered by Ronan at the instructions of Thanos.
dave bautista as drax the destroyer,thanos,"Drax's appearance in the Guardians is due to his family being slaughtered by Thanos, under whose instructions Ronan did it."
karen gillan as nebula,thanos,"Nebula was trained by Thanos to be his personal assassin, similar to her sister Gamora's case."
karen gillan as nebula,gamora,Nebula and Gamora are adoptive sisters.
pom klementieff,mantis,"Pom Klementieff portrays Mantis, a member of the Guardians with empathic powers, and Quill's half-sister in the movie."
vin diesel,groot,"Vin Diesel plays Groot, a tree-like humanoid member of the Guardians, and his character is an accomplice of Rocket in the movie."
austin freeman,groot (motion capture),"In the movie, Austin Freeman provided on set motion-capture for Groot, who is played by Vin Diesel in a CGI form."
bradley cooper,rocket,"Bradley Cooper voices Rocket, a genetically engineered raccoon-based bounty hunter and member of the Guardians, in the movie."
sean gunn,rocket (motion capture),"In the movie, Sean Gunn provided on set motion capture for Rocket, who is voiced by Bradley Cooper."
noah raskin,baby rocket (voice),Noah Raskin voiced baby Rocket in the movie.
adam warlock,guardians of the galaxy,"Adam Warlock, a powerful artificial being created by the Sovereign to destroy the Guardians, interacts with the actual Guardians, providing an interesting juxtaposition to their journey. This interaction showcases how Adam Warlock is a more traditional superhero compared to the Guardians, although not necessarily a hero."
adam warlock,sovereign,"Adam Warlock, a powerful artificial being created by the Sovereign, is newly born from the Sovereign's cocoon and 'basically a baby' that 'does not understand life very well.'"
kraglin,guardians of the galaxy,"Kraglin, a member of the Guardians and Yondu Udonta's former second-in-command in the Ravagers, is also a part of the Guardians."
kraglin,yondu udonta,"Kraglin, a member of the Guardians and Yondu Udonta's former second-in-command in the Ravagers, was once under the command of Yondu Udonta."
high evolutionary,orgocorp,"CEO and creator of hybrid creatures, specializing in creating hybrid creatures as part of his company OrgoCorp."
rocket,high evolutionary,"Creator of Rocket, seeking to forcibly enhance all living beings into a 'special race' where he has been credited as creating the Animen, the Humanimals, the Hell Spawn, the Sovereign, the Xeronians, and the Star Children."
high evolutionary,orgocorp employees,"In charge of creating hybrid creatures and Rocket's creator, seeking to forcibly enhance all living beings into a 'special race'. The High Evolutionary is credited with creating the Animen, the Humanimals, the Hell Spawn, the Sovereign, the Xeronians, and the Star Children."
high evolutionary,doctor moreau,"Gunn likened the High Evolutionary to 'a space version' of Doctor Moreau from Island of Lost Souls (1932), a film Gunn is a big fan of."
high evolutionary,mcu villains,Gunn described the High Evolutionary as the 'cruelest MCU villain' up to that point due to how he negatively impacts the lives of Rocket and his fellow subject friends.
high evolutionary,chukwudi iwuji,"Played by Chukwudi Iwuji, the High Evolutionary is 'narcissistic, sociopathic, but very charming' according to Iwuji."
linda cardellini,lylla,"Linda Cardellini voices and provides motion capture for the character Lylla, who is an associate and friend of Rocket in the context provided."
orgocorp,master karja,"Master Karja is an orgosentry at Orgocorp, as mentioned in the given context."
stakar ogord,sylvester stallone,"Stakar Ogord is a high-ranking Ravager, and Sylvester Stallone portrays this character in the movie."
ayesha,elizabeth debicki,"Elizabeth Debicki plays the role of Ayesha, the golden High Priestess and leader of the Sovereign people who created Adam Warlock to destroy the Guardians."
martinex,michael rosenbaum,"Michael Rosenbaum portrays Martinex, a high-ranking Ravager, in the movie."
howard the duck,seth green,Seth Green voices Howard the Duck in the movie.
