node_1,node_2,edge
horcrux,helga hufflepuff's cup,Found in Bellatrix Lestrange's vault at Gringotts bank and is a Horcrux.
hogwarts,horcrux connected to rowena ravenclaw,Realised by Harry Potter during the plot details.
harry potter,griphook,"Asked Griphook to help him, Ron Weasley and Hermione Granger break into Bellatrix Lestrange's vault at Gringotts bank."
ron weasley,harry potter,Mentioned in the same sentence during the plot details.
hermione granger,harry potter,Mentioned in the same sentence during the plot details.
bellatrix lestrange's vault at gringotts bank,horcrux,"Suspecting a Horcrux is there, Harry Potter, Ron Weasley and Hermione Granger asked Griphook to help them break into."
bellatrix lestrange's vault at gringotts bank,griphook,"Agreed to help Harry Potter, Ron Weasley and Hermione Granger break into Bellatrix Lestrange's vault at Gringotts bank in exchange for the Sword of Gryffindor."
draco malfoy,bellatrix lestrange,"Belonged to Bellatrix Lestrange and Draco Malfoy, wandmaker Ollivander senses Draco's wand has changed its allegiance to Harry Potter."
malfoy manor,dobby,Captured by Harry Potter during the plot details.
gringotts bank,security,Trapped by security while trying to escape from Gringotts bank after breaking into Bellatrix Lestrange's vault at Gringotts bank.
gringotts bank,dragon guardian,Released the dragon guardian and fled Gringotts bank on its back while trying to escape from Gringotts bank after breaking into Bellatrix Lestrange's vault at Gringotts bank.
harry potter,lord voldemort,Harry Potter has a vision of Lord Voldemort at Gringotts during the plot details.
aberforth dumbledore,harry potter,"Helped Harry Potter, Ron Weasley and Hermione Granger while apparating into Hogsmeade during the plot details."
neville longbottom,a secret passageway,"Guided Harry Potter, Ron Weasley and Hermione Granger through the secret passageway into Hogwarts during the plot details."
severus snape,harry potter,Knew Harry Potter has returned and threatened to punish any staff or students who aid Harry Potter.
professor mcgonagall,severus snape,Roused the Hogwarts community for battle during the plot details.
luna lovegood,helena ravenclaw's ghost,Urged Harry Potter to speak to Helena Ravenclaw's ghost during the plot details.
helena ravenclaw's ghost,voldemort,"Revealed Voldemort performed ""dark magic"" on her during the plot details."
hogwarts community for battle,battle,Setting in which the events take place
luna lovegood,harry,Luna urges Harry to speak to Helena Ravenclaw's ghost
helena ravenclaw's ghost,voldemort,Helena reveals Voldemort performed 'dark magic' on her mother's diadem
room of requirement,harry,"[{'source': 0, 'target': 1}, {'source': 0, 'target': 2}, {'source': 0, 'target': 3}]"
gregory goyle,fiendfyre curse,"Goyle casts an uncontrollable Fiendfyre curse that kills him while Harry, Ron, and Hermione save Malfoy and Zabini and escape on brooms"
nagini,final horcrux,Harry realises that Voldemort's snake Nagini is the final Horcrux
voldemort's army,harry,"[{'source': 0, 'target': 1}, {'source': 1, 'target': 2}]"
elder wand,snape,Voldemort tells Snape that the Elder Wand cannot serve Voldemort until Snape dies; Nagini then viciously attacks Snape
albus dumbledore,snape,"Following her death, Snape worked with Albus Dumbledore as a double agent amongst the Death Eaters, to protect Harry from Voldemort"
lily,snape,"Snape despised Harry's late father James, who bullied him, but he loved Harry's mother Lily"
dumbledore,death,It was Snape who conjured the Patronus doe and Dumbledore was dying and planned for Snape to kill him
fred weasley,remus lupin,"[{'source': 0, 'target': 1}, {'source': 0, 'target': 2}, {'source': 1, 'target': 2}]"
harry,dumbledore (dying),"informational relation, Harry learns that Dumbledore was dying"
snape,dumbledore (planned),"informational relation, Snape planned for Dumbledore's death"
snape,patronus doe,"causal relation, Snape conjured the Patronus doe"
harry,horcrux,"accidental relation, Harry became an Horcrux by accident"
voldemort's curse,harry,"informational relation, Voldemort's curse originally failed to kill Harry"
harry,"spirits of parents, sirius black, and remus","causal relation, Harry summons the spirits..."
dumbledore's spirit,harry,"informational relation, Dumbledore's spirit meets Harry"
voldemort,harry (apparent corpse),"causal relation, Voldemort displays Harry's apparent corpse..."
molly,bellatrix,"destructive relation, Molly kills Bellatrix"
neville,sword of gryffindor,"causal relation, Neville draws the Sword of Gryffindor from the Sorting Hat in defiance"
harry,voldemort,"final confrontation and killing relation, Harry finally kills Voldemort after his Expelliarmus charm..."
elder wand,voldemort,"informational relation, Voldemort never commanded the Elder Wand"
elder wand,voldemort,"Never commanded the Elder Wand after the battle, but it recognized him as its true master due to disarming Draco who had previously disarmed Dumbledore atop the Astronomy Tower."
elder wand,dumbledore,Previously owned by Dumbledore before being disarmed by Draco on top of the Astronomy Tower.
harry potter,elder wand,Destroys the Elder Wand after realizing that Voldemort never commanded it.
draco,dumbledore,"Disarmed Dumbledore atop the Astronomy Tower, leading to the Elder Wand recognizing Voldemort as its true master."
harry potter's children,king's cross station,Proudly watch their children leave for Hogwarts at King's Cross station nineteen years later.
