node_1,node_2,edge
irrfan khan,champak ghasiteram bansal,Irrfan Khan portrays the character of Champak Ghasiteram Bansal in this movie.
radhika madan,taarika 'taaru' bansal,Radhika Madan plays the character of Taarika 'Taaru' Bansal in this movie.
myrah dandekar,little taarika,Myrah Dandekar essayed the character of Little Taarika in this movie.
deepak dobriyal,gopi ghasiteram bansal,Deepak Dobriyal is seen as Gopi Ghasiteram Bansal in this movie.
kareena kapoor khan,inspector naina kohli,Kareena Kapoor Khan depicts the character of Inspector Naina Kohli in this movie.
dimple kapadia,sampada kohli,Dimple Kapadia portrays the character of Sampada Kohli in this movie.
ranvir shorey,bala 'babloo' shankar tripathi,Ranvir Shorey is seen as Bala 'Babloo' Shankar Tripathi in this movie.
pankaj tripathi,travel agent tony bansal,Pankaj Tripathi essays the character of Travel Agent Tony Bansal in this movie.
kiku sharda,gajendra 'gajju' ghasiteram bansal,Kiku Sharda portrays the character of Gajendra 'Gajju' Ghasiteram Bansal in this movie.
manu rishi,bheluram bansal,Manu Rishi is seen as Bheluram Bansal in this movie.
zakir hussain,judge indrabhan chedda,Zakir Hussain portrays the character of Judge Indrabhan Chedda in this movie.
meghna malik,principal maalti chedda,Meghna Malik essays the character of Principal Maalti Chedda in this movie.
manish gandhi,"advait raheja, taarika's london friend","Manish Gandhi is seen as Advait Raheja, Taarika's London friend in this movie."
tillotama shome,college consultant of tarika,Tillotama Shome portrays the character of College Consultant of Tarika in this movie.
poorvi jain,rashi bansal,Poorvi Jain essays the character of Rashi Bansal in this movie.
vipul tank,lagnesh,Vipul Tank is seen as Lagnesh in this movie.
ankit bisht,anmol,Ankit Bisht essays the character of Anmol in this movie.
