node_1,node_2,edge
manoj bajpayee,jaideep ahlawat,Father-son relationship between Shahid Khan and Sardar Khan
nawazuddin siddiqui,manoj bajpayee,Son relationship between Sardar Khan and Faizal Khan
richa chadda,manoj bajpayee,First wife of Sardar Khan named Nagma Khatoon
piyush mishra,jaideep ahlawat,Sworn uncle and servant relationship between Nasir and Shahid Khan
reema sen,manoj bajpayee,Second wife of Sardar Khan named Durga
huma qureshi,nawazuddin siddiqui,Spouse relationship between Faizal Khan and Mohsina Hamid
zeishan quadri,manoj bajpayee,Son relationship between Sardar Khan and Definite Khan from Durga
vineet kumar singh,manoj bajpayee,Eldest son named Danish Khan of Sardar Khan
satyakam anand,tigmanshu dhulia,Son relationship between Ramadhir Singh and J. P. Singh
pankaj tripathi,sultana daku / badoor qureshi,"Pankaj Tripathi as Sultan Qureshi, nephew of Sultana Daku, one of Sardar's enemies.
Pramod Pathak as Sultana Daku / Badoor Qureshi"
anurita jha,shama parveen,"Anurita Jha as Shama Parveen, Danish's wife and Sultan's sister."
vipin sharma,ehsan qureshi,"Vipin Sharma as Ehsan Qureshi, Sultan's uncle"
rajkummar rao,shamshad alam,Rajkummar Rao as Shamshad Alam
vasan bala,bhoos,Vasan Bala in song Bhoos
aditya kumar,babu 'babua' khan ('perpendicular'),"Aditya Kumar as Babu 'Babua' Khan ('Perpendicular'), Sardar's youngest son"
yashpal sharma,occasional singer,Yashpal Sharma as Occasional Singer (Guest Appearance)
vicky kaushal,silhouette bystander,Vicky Kaushal as silhouette bystander (Cameo Role)
satyakam anand,j. p. singh,"Satyakam Anand as J. P. Singh, Ramadhir's son"
sanjay singh,fazlu,"Sanjay Singh as Fazlu, Faisal's friend"
