node_1,node_2,edge
amitabh bachchan,bhashkor banerjee,"In this movie, Amitabh Bachchan portrays the character of Bhashkor Banerjee."
deepika padukone,piku banerjee,Deepika Padukone acts as Piku Banerjee in the film.
irrfan khan,rana chaudhary,"In the movie, Irrfan Khan represents Rana Chaudhary."
jisshu sengupta,sayyed afroze,Jisshu Sengupta essays the role of Sayyed Afroze in the movie.
moushumi chatterjee,chhobi mashi,"In this film, Moushumi Chatterjee portrays the character of Chhobi Mashi."
avijit dutt,bodo mesho,Avijit Dutt depicts Bodo Mesho in the movie.
balendra singh,budhan,"In this film, Balendra Singh plays the role of Budhan."
swaroopa ghosh,moni kaki,Swaroopa Ghosh represents Moni Kaki in the movie.
raghuvir yadav,dr. srivastava,"In this film, Raghuvir Yadav portrays Dr. Srivastava."
aniruddha roy chowdhury,nabendu,Aniruddha Roy Chowdhury represents Nabendu in the movie.
rupsa banerjee,eisha,"In this film, Rupsa Banerjee acts as Eisha."
oindrila saha,nisha,Oindrila Saha represents Nisha in the movie.
sumanto chattopadhyay,saurob,"In this film, Sumanto Chattopadhyay portrays Saurob."
akshay oberoi,aniket,Akshay Oberoi appears as Aniket in a cameo role.
