node_1,node_2,edge
bareilly ki barfi,soundtrack album,"The movie 'Bareilly Ki Barfi' has a soundtrack album released on August 11, 2017 by Zee Music Company."
tanishk bagchi,bareilly ki barfi,Tanishk Bagchi composed some of the songs for the movie 'Bareilly Ki Barfi'.
arko pravo mukherjee,bareilly ki barfi,Arko Pravo Mukherjee composed some of the songs for the movie 'Bareilly Ki Barfi'.
sameer uddin,twist kamariya,Sameer Uddin sang the song 'Twist Kamariya' from the movie 'Bareilly Ki Barfi'.
vayu,twist kamariya,Vayu composed and sang the song 'Twist Kamariya' from the movie 'Bareilly Ki Barfi'.
samira koppikar,nazm nazm,Samira Koppikar sang the song 'Nazm Nazm' from the movie 'Bareilly Ki Barfi'.
sweety tera drama,bareilly ki barfi,The song 'Sweety Tera Drama' is from the movie 'Bareilly Ki Barfi'.
zee music company,bareilly ki barfi,"The soundtrack album of 'Bareilly Ki Barfi' was released by Zee Music Company on August 11, 2017."
munna michael,tanishk bagchi,Tanishk Baghui composed songs for the movie 'Munna Michael'.
shubh mangal saavdhan,arko pravo mukherjee,Arko Pravo Mukherjee composed songs for the movie 'Shubh Mangal Saavdhan'.
sweetiee weds nri,arko pravo mukherjee,Arko Pravo Mukherjee composed songs for the movie 'Sweetiee Weds NRI'.
nazm nazm,arko pravo mukherjee,"composed, written and sung by Arko Pravo Mukherjee"
twist kamariya,tanishk bagchi,composed and sung by Tanishk Bagchi
bairaagi,samira koppikar,sung and composed by Samira Koppikar
nazm nazm,ayushmann khurrana,Ayushmann Khurrana version sung by Ayushmann Khurrana
bairaagi,samira koppikar,Samira Koppikar version sung and composed by Samira Koppikar
nazm nazm,sumedha karmahe,sung and composed by Sumedha Karmahe
