node_1,node_2,edge
ranveer singh,bajirao i,"Ranveer Singh played the role of Bajirao I, who was the Peshwa of the Maratha Empire and also married Kashibai and Mastani."
deepika padukone,mastani,"Deepika Padukone portrayed Mastani, who was Bajirao I's second wife."
priyanka chopra,kashibai,"In the movie, Priyanka Chopra acted as Kashibai, who was Bajirao I's first wife and also mother of Nana Saheb and Ragunath."
tanvi azmi,radhabai,"Tanvi Azmi portrayed Radhabai, who was Bajirao I's mother."
milind soman,ambaji pant purandare,Milind Soman played Ambaji Pant Purandare in the movie.
vaibhav tatwawaadi,chimaji appa,"In the film, Vaibhav Tatwawaadi acted as Chimaji Appa, who was Bajirao I's younger brother."
ayush tandon,nana saheb,"Ayush Tandon portrayed Nana Saheb, who was Kashibai and Bajirao I's first son."
rudra soni,young nana saheb,"In the movie, Rudra Soni played the role of Young Nana Saheb."
mahesh manjrekar,chhatrapati shahu,Mahesh Manjrekar acted as Chhatrapati Shahu in the movie.
aditya pancholi,shripatrao pratinidhi,Aditya Pancholi portrayed Shripatrao Pratinidhi in the movie.
raza murad,asaf jah i,"In the film, Raza Murad played the role of Asaf Jah I, who was the Nizam of Hyderabad."
sukhada khandkekar,anubai,"In the movie, Sukhada Khandkekar acted as Anubai."
benjamin gilani,maharaja chhatrasal,Benjamin Gilani portrayed Maharaja Chhatrasal in the movie.
anuja sathe,bhiubai,"In the film, Anuja Sathe acted as Bhiubai."
yatin karyekar,krishna bhatt,Yatin Karyekar portrayed Krishna Bhatt in the movie.
ganesh yadav,malhar rao holkar,"In the film, Ganesh Yadav acted as Malhar Rao Holkar."
snehlata girish vasaikar,bhanu,"In the movie, Snehlata Girish Vasaikar acted as Bhanu."
irrfan khan,narrator (voice-over),"In the movie, Irrfan Khan provided voice-over for the narrator's role."
kaartik ahuja,nasir jung,"In the film, Kaartik Ahuja played Nasir Jung's role."
