node_1,node_2,edge
kangana ranaut,rani mehra,Kangana Ranaut played the role of Rani Mehra in this movie.
rani mehra,rajkumar rao,Rani Mehra's fiancé in the movie is played by Rajkumar Rao as Vijay Dhingra.
lisa haydon,rani's friend,"In this movie, Lisa Haydon played the role of Rani's friend named Vijayalakshmi."
mish boyko,oleksander (sikander),"Mish Boyko portrayed the character of Oleksander, also known as Sikander, in this movie."
jeffrey ho,taka,"In this movie, Jeffrey Ho acted as Taka."
joseph guitobh,tim,Joseph Guitobh played the role of Tim in this movie.
tantrik baba,baba,"In this movie, Tantrik Baba enacted the character named Baba."
marco canadea,marcello,"Marco Canadea portrayed Marcello, Rani's crush in this movie."
yogendra tiku,rani's father,"In this movie, Yogendra Tiku played the role of Rani's father."
alka badola kaushal,rani's mother,Alka Badola Kaushal acted as Rani's mother in this movie.
chinmai chandranshuh,chintu mehra,"In this movie, Chinmai Chandranshuh portrayed the character named Chintu Mehra."
tripta lakhanpal,dadi,Tripta Lakhanpal acted as Dadi in this movie.
nayani dixit,sonal,"In this movie, Nayani Dixit played the role of Sonal."
sabeeka imam,roxette (rukhsar),"Sabeeka Imam acted as Roxette, also known as Rukhsar, in this movie."
alexandre plasti melara,flying pig drunk #1,"In this movie, Alexandre Plasti Melara portrayed one of the characters named flying pig drunk."
leonardo pricoli,flying pig drunk #2,Leonardo Pricoli acted as another character named flying pig drunk in this movie.
