node_1,node_2,edge
anil kapoor,salman khan,Both Anil Kapoor and Salman Khan are actors in the movie.
anil kapoor,kishan singhania,Anil Kapoor plays the character Kishan Singhania in the movie.
salman khan,prem khanna,Salman Khan plays the character Prem Khanna in the movie.
fardeen khan,shekhar 'sunny' wani,Both Fardeen Khan and Salman Khan play characters named Shekhar 'Sunny' Wani in the movie.
bipasha basu,bobby saluja,Both Bipasha Basu and Esha Deol play characters named Bobby Saluja in the movie.
esha deol,pooja khanna,Esha Deol plays the character Pooja Khanna in the movie.
lara dutta,kajal singhania,Lara Dutta plays the character Kajal Singhania in the movie.
celina jaitly,sanjana saxena,Celina Jaitly plays the character Sanjana Saxena in the movie.
boman irani,param kumar 'p. k.',Boman Irani plays the character Param Kumar 'P. K.'
neetha shetty,preeti koppikar,Neetha Shetty plays the character Preeti Koppikar in the movie.
paresh ganatra,jagmohan kaushik,Paresh Ganatra plays the character Jagmohan Kaushik in the movie.
dinesh hingoo,dr. dilip jaisingh,"Dinesh Hingoo plays the character Dr. Dilip Jaisingh, who is a hotel employee."
pratima kazmi,dhamini gupta,Pratima Kazmi plays the character Dhamini Gupta in the movie.
razak khan,johnny toteywala,Razak Khan plays the character Johnny Toteywala in the movie.
anjan srivastav,judge mrityunjay saxena,Anjan Srivastav plays the character Judge Mrityunjay Saxena in the movie.
sameera reddy,beach girl (cameo appearance),Sameera Reddy makes a cameo appearance as a beach girl in the movie.
