node_1,node_2,edge
shah rukh khan,shekhar,"Shah Rukh Khan's character, Major Ram Prasad Sharma, is introduced as Shekhar's son."
suniel shetty,raghavan dutta,"Suniel Shetty plays Ex-Major Raghavan Dutta, a former army officer turned terrorist."
sushmita sen,chandini chopra,"Sushmita Sen portrays Chandini Chopra, the chemistry teacher and love interest of Shah Rukh Khan's character."
amrita rao,sanju bakshi,"Amrita Rao plays Sanjana Bakshi, the daughter of General Amarjeet Bakshi and love interest of Zayed Khan's character."
zayed khan,laxman prasad sharma,"Zayed Khan appears as Laxman Prasad Sharma, Ram's half-brother and Sanju’s love interest."
boman irani,yogendra agarwal,"In the movie, Boman Irani plays Yogendra Agarwal, the college principal."
kirron kher,madhu sharma,"Kirron Kher portrays Madhu Sharma, Ram's stepmother and Lucky's mother."
bindu,mrs. sonali kakkar,Bindu essays the character of Mrs. Sonali Kakkar in the movie.
murali sharma,ex-captain khan,"Murali Sharma appears as Ex-Captain Khan, Raghavan's second-in-command."
kunal kumar,baman shastri,"In the movie, Kunal Kumar portrays Baman Shastri, Ram's friend."
kabir bedi,general amarjeet bakshi,"Kabir Bedi essays the character of General Amarjeet Bakshi, Sanju's father and Ram's superior officer."
naseeruddin shah,brig. shekhar prasad sharma,"In a special appearance, Naseeruddin Shah plays Brig. Shekhar Prasad Sharma, Ram and Lucky's father."
satish shah,professor madhav rasai,Satish Shah portrays Professor Madhav Rasai in the movie.
rakhi sawant,mini,Rakhi Sawant appears as Mini in the movie.
praveen sirohi,vivek,"In the movie, Praveen Sirohi plays Vivek."
rajiv panjabi,percy,"In the movie, Rajiv Panjabi appears as Percy."
geeta kapoor,"girl dancing in song ""gori gori""",Geeta Kapoor made a cameo appearance in the song 'Gori Gori' as a girl dancing.
"song ""gori gori""",geeta kapoor,Geeta Kapoor appeared as a dancer in the song 'Gori Gori'.
sajid khan,"band member in song ""gori gori""",Sajid Khan made a guest appearance as one of the band members in the song 'Gori Gori'.
rajeev khandelwal,himself (cameo appearance),Rajeev Khandelwal made a cameo appearance in the movie as himself.
