node_1,node_2,edge
oye lucky,all music,The song 'Oye Lucky' is a part of the soundtrack for this movie.
mika singh,oye lucky,Mika Singh has sung the song 'Oye Lucky' in this movie's soundtrack.
sneha khanwalkar,all music,Sneha Khanwalkar has composed all the music for this movie's soundtrack.
mika singh,jugni,Mika Singh has sung the song 'Jugni' in this movie's soundtrack.
des raj lachkani,jugni,Des Raj Lachkani has sung the song 'Jugni' (Remix) in this movie's soundtrack.
rajbir,tu raja ki raj dulari,Rajbir has sung the song 'Tu Raja Ki Raj Dulari' in this movie's soundtrack.
dilbahar,hooriyaan,Both Dilbahar and Akshay Verma have sung the song 'Hooriyaan' in this movie's soundtrack.
brijesh shandilya,hooriyaan,Brijesh Shandilya has composed the song 'Hooriyaan' in this movie's soundtrack.
himani kapoor,hooriyaan,Himani Kapoor has sung the song 'Hooriyaan' (Remix) in this movie's soundtrack.
dj a-myth,oye lucky (remix),Dj A-Myth has remixed the song 'Oye Lucky' in this movie's soundtrack.
dj a-myth,jugni (remix),Dj A-Myth has remixed the song 'Jugni' in this movie's soundtrack.
