node_1,node_2,edge
tumbbad's title track,apocalypse (hitman: blood money),Prasad was sampling music pieces from several composers when he heard the soundtrack 'Apocalypse' from the 2006 video game Hitman: Blood Money composed by Jesper Kyd and decided to work with him.
tumbbad's title track,ram lakhan (1989) (laxmikant–pyarelal),Prasad sent Kyd a sample of Laxmikant–Pyarelal's track from Ram Lakhan (1989) for reference.
tumbbad's title track,bulgarian music 'descending',Kyd felt the Tumbbad team wanted the soundtrack to be between a western and an Indian sound. Kyd recorded the choir with Bulgarian music called 'Descending' which was the first track he wrote for the film.
tumbbad's title track,street drummers and the sinful dwarf (1973),Prasad and Kyd used to interact with each other through Skype. Both Prasad and Kyd watched videos of street drummers and The Sinful Dwarf (1973).
original score,tumbbad's title track,"Ajay–Atul composed, arranged and produced Tumbbad's title track; it was sung in Hindi with lyrics written by Raj Shekhar."
original score,jesper kyd,Prasad decided to work with Jesper Kyd after hearing the soundtrack 'Apocalypse' from the 2006 video game Hitman: Blood Money composed by him.
tumbbad's title track,live recording with cello and violin,Both Prasad and Kyd used to interact with each other through Skype. The score involved live recording with cello and violin as well as the real sound of crickets.
original score,3 different types of sound for the film's 3 parts,Kyd made three different types of sound for the film's three parts.
the birth of hastar,hastar,"""The Birth of Hastar"" is the opening track, leading up to ""Hastar"""
rains of tumbbad,grandmother's meal,"Both ""Rains of Tumbbad"" and ""Grandmother's Meal"" are included in the album."
feeding the witch,opportunities,"Both ""Feeding the Witch"" and ""Opportunities"" appear as tracks 5 and 6 respectively."
the greed manifests,descending,"Tracks 7 and 8 are named ""The Greed Manifests"" and ""Descending"" respectively."
the wife,hastar,"Following ""The Wife"", the album concludes with ""Hastar"""
the box is opened,telefon,"Both ""The Box is Opened"" and ""Telefon"" are closing tracks."
happy ever after,family business,"Tracks 12 and 19 are titled ""Happy Ever After"" and ""Family Business"" respectively."
secrets,feeding the witch,"""Secrets"" is followed by ""Feeding the Witch"""
chocolate coins,the mistress,"Tracks 15 and 17 are titled ""Chocolate Coins"" and ""The Mistress"" respectively."
vinayak's treasure box,family business,"Both ""Vinayak's Treasure Box"" and ""Family Business"" are included in the album."
the initiation,descending,"Tracks 16 and 8 are named ""The Initiation"" and ""Descending"" respectively."
rains of tumbbad,grandmother's meal,"Both ""Rains of Tumbbad"" and ""Grandmother's Meal"" are included in the album."
the final choice,hastar,"Following ""The Final Choice"", the album concludes with ""Hastar"""
