node_1,node_2,edge
movie,summary,"A movie is presented here, and its summary is provided for the viewers."
zoya,marjaavaan,mute Kashmiri girl who teaches children music
narayan anna,raghu,goon loyal to the thug Narayan Anna who controls the water mafia in Mumbai
vishnu,narayan anna's son,"complexes arise from more than just his short stature, as he is only three feet tall"
marjaavaan,hindi-language romantic action film,written and directed by Milap Milan Zaveri
raghu,zoya,Tells → Dies in arms
vishnu,raghu,Tries to get killed in jail → Joins forces to get out of jail
raghu,friends,Joins forces for revenge against Vishnu
zoya,raghu,"Joins Raghu in dying peacefully, surrounded by friends and family"
second schedule,march 2019,The second schedule is set to roll in from mid-January and will end by March 2019.
sidharth malhotra,a dozen goons,Sidharth Malhotra is shooting with a dozen goons and has switched to action mode.
sidharth malhotra,authentic,The stunt team wanted to shoot with a body double because Sidharth's back and shoulder would be on fire but he was adamant on doing the scene himself to make it look authentic and stay true to his character
siddharth malhotra,crews,Sidharth Malhotra announced the news by posting a picture with crews with a heartfelt message.
shah rukh khan,vfx shots,Deshmukh revealed that Shah Rukh Khan had helped the production team with some VFX shots for the former's role as a dwarf.
sidharth malhotra,release date,"On 5 August 2019, Malhotra announced that the film is delayed to avoid the clash with Siddharth Anand's big budget film War starring Tiger Shroff and Hrithik Roshan, but the release date was not confirmed."
sidharth malhotra,new release date,"On 10 October, he announced new release date of film is 15 November 2019."
marjaavaan,emotional action rollercoaster,The Times of India described Marjaavaan as attempting to check all the boxes for an emotional action rollercoaster.
marjaavaan,tedious watch,Mumbai Mirror rated Marjaavaan 2 out of 5 stars and called it a 'tedious watch'.
marjaavaan,weak and clichéd plotline,Khaleej Times criticized Marjaavaan for having a weak and clichéd plotline.
marjaavaan,dated execution,The Times of India commented that Marjaavaan's dated execution doesn't quite make the kill.
marjaavaan,mixed reviews,Marjaavaan received mixed reviews from critics.
sidharth malhotra,tara sutaria,Marjaavaan stars Sidharth Malhotra and Tara Sutaria.
november 2019,release date,Marjaavaan was released on November 2019.
bala,release date,Marjaavaan's release date was postponed by a week to accommodate the release of Bala.
ek toh kum zindagani,pyar do pyar lo,"Both songs are remakes of each other, with 'Ek Toh Kum Zindagani' being a remake of 'Pyar Do Pyar Lo' from the film Janbaaz in the movie Thank You and in this movie, the latter being composed by Pritam."
haiya ho,chahe meri jaan tu le le,Both songs 'Haiya Ho' and 'Chahe Meri Jaan Tu Le Le' from the movie are remakes of each other.
kinna sona,nusrat fateh ali khan,The Pakistani song 'Kinna Sona' from the movie is covered by Pakistani singer Atif Aslam.
masakali 2.0,masakali,The song 'Masakali 2.0' is a recreated version of the song 'Masakali' from the movie Delhi-6.
atif aslam,pakistani singer,Atif Aslam is a Pakistani singer who contributed to the soundtrack of the film.
all indian cine workers association,ban,"In February 2019, the All Indian Cine Workers Association levied a ban on all Pakistani artists, which resulted in the replacement of Atif Aslam's version for a new one sung by Jubin Nautiyal."
t-series,removed,"In June 2020, T-Series released the initial cover sung by Atif Aslam on YouTube, but were forced to remove it due to a threat-laced campaign led by the far-right Indian nationalist party: Maharashtra Navnirman Sena."
film's soundtrack,covered,Atif Aslam covered a song for the film's soundtrack.
indian singer jubin nautiyal,replaced,Jubin Nautiyal replaced Atif Aslam's version due to the ban imposed by the All Indian Cine Workers Association.
qawwali,remained a cover,Although the song remained a cover of the Pakistani Qawwali after being replaced by Jubin Nautiyal.
