node_1,node_2,edge
nikhil-vinay,soundtrack,Nikhil-Vinay composed the soundtrack for this movie.
ye ishq gunah,shaan,Shaan sang 'Ye Ishq Gunah' in the movie's soundtrack.
ye ishq gunah,khushboo jain,Khushboo Jain sang the female version of 'Ye Ishq Gunah' in the movie's soundtrack.
tu jaan se,zuban,Zuban sang 'Tu Jaan Se' in the movie's soundtrack.
tu jaan se,shweta pandit,Shweta Pandit sang 'Tu Jaan Se' in the movie's soundtrack.
mera vaada raha,udit narayan,Udit Narayan sang 'Mera Vaada Raha' in the movie's soundtrack.
mera vaada raha,mahalakshmi iyer,Mahalakshmi Iyer sang 'Mera Vaada Raha' in the movie's soundtrack.
bewaja yun,sukhwinder singh,Sukhwinder Singh sang 'Bewaja Yun' in the movie's soundtrack.
bewaja yun,khushboo jain,Khushboo Jain sang 'Bewaja Yun' in the movie's soundtrack.
mere halaat,zubeen garg,Zubeen Garg sang 'Mere Halaat' in the movie's soundtrack.
tujhe dekhoon to,shaan,Shaan sang 'Tujhe Dekhoon To' in the movie's soundtrack.
tujhe dekhoon to,shweta pandit,Shweta Pandit sang 'Tujhe Dekhoon To' in the movie's soundtrack.
hum karke pyar,shaan,Shaan sang 'Hum Karke Pyar' in the movie's soundtrack.
hum karke pyar,shreya ghoshal,Shreya Ghoshal sang 'Hum Karke Pyar' in the movie's soundtrack.
