node_1,node_2,edge
karan nath,suraj rai,Karan Nath portrays the character Suraj Rai in the movie.
dino morea,rocky,Dino Morea essays the role of Rocky in the movie.
tanisha mukherjee,mehek gujral,Tanisha Mukherjee enacts the character Mehek Gujral in the movie.
gaurav kapur,rajat rai,Gaurav Kapur features as Rajat Rai in the film.
kushal punjabi,nikhil,Kushal Punjabi depicts the character Nikhil in the movie.
suvarna jha,gehna,Suvarna Jha portrays the character Gehna in the movie.
tina choudhary,riya,Tina Choudhary depicts the character Riya in the movie.
alyy khan,inspector akash rathore,Alyy Khan essays the role of Inspector Akash Rathore in the movie.
shivaji satam,commissioner kamath,Shivaji Satam portrays the character Commissioner Kamath in the movie.
simone singh,malini gujral,Simone Singh enacts the character Malini Gujral in the movie.
