node_1,node_2,edge
ajay devgn,kaali pratap singh,Ajay Devgn plays the character of Kaali Pratap Singh in the movie.
john abraham,krish thapar,John Abraham portrays the character of Krish Thapar in the film.
vivek oberoi,dev malhotra,Vivek Oberoi essays the role of Dev Malhotra in the movie.
esha deol,riya thapar,Esha Deol portrays Riya Thapar in the movie.
lara dutta,ishika malhotra,Lara Dutta plays the character of Ishika Malhotra in the film.
vishal malhotra,vishal bhasin,Vishal Malhotra acts as Vishal Bhasin in the movie.
kushal punjabi,sajid meer,Kushal Punjabi performs the role of Sajid Meer in the film.
parmeet sethi,bashir khan,Parmeet Sethi portrays Bashir Khan in the movie.
vineet sharma,bagga,Vineet Sharma acts as Bagga in the film.
daya shankar pandey,ds pandey,Daya Shankar Pandey plays the character of DS Pandey in the movie.
shah rukh khan,item boy (kaal dhamaal),Shah Rukh Khan appears as an item boy in the song 'Kaal Dhamaal'.
malaika arora,item girl (kaal dhamaal),Malaika Arora appears as an item girl in the song 'Kaal Dhamaal'.
