node_1,node_2,edge
anil kapoor,sagar pandey 'majnu bhai',Anil Kapoor plays the character of Sagar Pandey 'Majnu Bhai' in the movie.
nana patekar,don uday shetty,Nana Patekar plays a dual role as Don Uday Shetty in the movie.
nana patekar,"shankar shetty, uday, sanjana and ranjana's father","Nana Patekar plays the character of Shankar Shetty, Uday, Sanjana and Ranjana's father in the movie."
john abraham,"ajju bhai / ajay barsi, freedom fighter, dr. ghunghroo's stepson and payal's son","John Abraham plays the character of Ajju Bhai / Ajay Barsi, Freedom Fighter, Dr. Ghunghroo's stepson and Payal's son in the movie."
shruti haasan,"ranjana shetty, uday's half-sister","Shruti Haasan plays the character of Ranjana Shetty, Uday's half-sister in the movie."
paresh rawal,dr. ghunghroo,Paresh Rawal plays the character of Dr. Ghunghroo in the movie.
ankita srivastava,babita / rajkumari chandini,Ankita Srivastava plays the character of Babita / Rajkumari Chandini in the movie.
dimple kapadia,poonam / maharani padmavati,Dimple Kapadia plays the character of Poonam / Maharani Padmavati in the movie.
naseeruddin shah,wanted bhai,Naseeruddin Shah plays the character of Wanted Bhai in the movie.
shiney ahuja,honey,Shiney Ahuja plays the character of Honey in the movie.
supriya karnik,payal ghungroo,Supriya Karnik plays the character of Payal Ghungroo in the movie.
ranjeet,vikrant kapoor,Ranjeet plays the character of Vikrant Kapoor in the movie.
rajpal yadav,tailor,Rajpal Yadav plays the character of Tailor in the movie.
neeraj vora,badshah khan,Neeraj Vora plays the character of Badshah Khan in the movie.
mushtaq khan,ballu,Mushtaq Khan plays the character of Ballu in the movie.
akshay kumar,rajiv saini,Akshay Kumar appears as Rajiv Saini in the archive footage of the movie.
feroz khan,ranvir dhanraj xaka (rdx),Feroz Khan appears as Ranvir Dhanraj Xaka (RDX) in the archive footage of the movie.
katrina kaif,sanjana shetty saini,Katrina Kaif appears as Sanjana Shetty Saini in the archive footage of the movie.
lauren gottlieb,item number performer,Lauren Gottlieb performs item numbers in the movie.
