node_1,node_2,edge
kamaal rashid khan,raja yadav,is played by Kamaal Rashid Khan in the movie
gracy singh,sonia patil,is played by Gracy Singh in the movie
aman verma,minister shrivastav,plays the role of Minister Shrivastav in the movie
hrishitaa bhatt,neha rohit raghav,is played by Hrishitaa Bhatt (dubbed by Mona Ghosh Shetty) in the movie
manoj tiwari,shekhar,is played by Manoj Tiwari in the movie
kader khan,abdul bhai,is played by Kader Khan in the movie
mukesh tiwari,rajan naik,is played by Mukesh Tiwari in the movie
zulfi syed,inspector rohit raghav,is played by Zulfi Syed in the movie
ranjeet,raja's father,is played by Ranjeet in the movie
avtar gill,raja's grandfather,is played by Avtar Gill in the movie
yashpal sharma,baba kadam,is played by Yashpal Sharma in the movie
raza murad,chief minister of maharashtra,is played by Raza Murad in the movie
nirmal pandey,deputy chief minister nagesh kulkarni,is played by Nirmal Pandey in the movie
shiva rindani,encounter specialist rajesh sharma,is played by Shiva Rindani in the movie
arun bakshi,shrivastav's p.a.,plays the role of Shrivastav's P.A. In the movie
anil nagrath,"deshmukh, the informer",is played by Anil Nagrath in the movie
