node_1,node_2,edge
akshay kumar,vikram 'vicky' bajaj,Akshay Kumar plays the character Vikram 'Vicky' Bajaj in this movie.
bobby deol,raj malhotra,Bobby Deol portrays the character Raj Malhotra in this film.
kareena kapoor,priya malhotra,Kareena Kapoor acts as Priya Malhotra in this movie.
bipasha basu,neeta,Bipasha Basu performs as Neeta in this film.
bipasha basu,(fake) sonia bajaj,"In this movie, Bipasha Basu appears in a special role named (Fake) Sonia Bajaj."
johnny lever,bhanu pradhan,Johnny Lever plays the character Bhanu Pradhan in this film.
amita nangia,champa devi,"In this movie, Amita Nangia enacts the role named Champa Devi."
dalip tahil,priya's father,Dalip Tahil portrays Priya's father in this film.
sharat saxena,insurance officer,"In this movie, Sharat Saxena performs as the Insurance Officer."
sheela sharma,veena chandra devi,Sheela Sharma acts as Veena Chandra Devi in this film.
narendra bedi,lakhan pal,"In this movie, Narendra Bedi enacts the character Lakhan Pal."
