node_1,node_2,edge
ajay devgn,jaswinder 'jassi' singh randhawa,Ajay Devgn portrays the character of Jaswinder 'Jassi' Singh Randhawa in the movie.
sanjay dutt,balwinder 'billu' singh sandhu,Sanjay Dutt plays the character of Balwinder 'Billu' Singh Sandhu in the movie.
sonakshi sinha,sukhmeet 'sukh' kaur sandhu,Sonakshi Sinha appears as Sukhmeet 'Sukh' Kaur Sandhu in the movie.
juhi chawla,parmmeet 'pammi' kaur,Juhi Chawla portrays the character of Parmmeet 'Pammi' Kaur in the movie.
salman khan,pathan,Salman Khan appears as the special appearance character Pathan in the movie.
arjan bajwa,tej 'bobby' jaswal,Arjan Bajwa essays the role of Tej 'Bobby' Jaswal in the movie.
puneet issar,inspector sardar,Puneet Issar appears as Inspector Sardar in a special appearance in the movie.
mukul dev,tony singh sandhu,Mukul Dev portrays the character of Tony Singh Sandhu in the movie.
vindu dara singh,tito singh sandhu,Vindu Dara Singh essays the role of Tito Singh Sandhu in the movie.
tanuja,bebe,Tanuja appears as Bebe in a special appearance in the movie.
sanjay mishra,club owner in london,Sanjay Mishra appears as the club owner in London in a special appearance in the movie.
