node_1,node_2,edge
housefull 2,soundtrack,"Housefull 2 is a Bollywood film released in 2012, and its soundtrack is also known as Housefull 2 Soundtrack."
sandeep shirodkar,housefull 2,Sandeep Shirodkar composed the film score for Housefull 2.
t-series,housefull 2 soundtrack,Label T-Series released the soundtrack album of Housefull 2.
sajid–wajid,housefull 2 soundtrack,Sajid–Wajid composed all music for the Housefull 2 soundtrack album.
papa toh band bajaye,neeraj shridhar,"Neeraj Shridhar sang ""Papa Toh Band Bajaye"", a song from the Housefull 2 soundtrack album."
anarkali disco chali,mamta sharma,"Mamta Sharma sang ""Anarkali Disco Chali"", a song from the Housefull 2 soundtrack album."
anarkali disco chali,sukhwinder singh,"Sukhwinder Singh sang ""Anarkali Disco Chali"", a song from the Housefull 2 soundtrack album."
right now now,wajid khan,"Wajid Khan, along with Sunidhi Chauhan and Suzanne D'Mello, sang ""Right Now Now"", a song from the Housefull 2 soundtrack album."
do u know,shaan,"Shaan sang ""Do U Know"", a song from the Housefull 2 soundtrack album."
do u know,shreya ghoshal,"Shreya Ghoshal sang ""Do U Know"", a song from the Housefull 2 soundtrack album."
anarkali disco chali,hyper mix,"A remixed version of ""Anarkali Disco Chali"" was included in the Housefull 2 soundtrack album, known as ""Anarkali Disco Chali"" (Hyper Mix)."
right now now,remix,"A remixed version of ""Right Now Now"" was included in the Housefull 2 soundtrack album, known as ""Right Now Now"" (Remix)."
anarkali disco chali,remix,"A remixed version of ""Anarkali Disco Chali"" was included in the Housefull 2 soundtrack album, known as ""Anarkali Disco Chali"" (Remix)."
