node_1,node_2,edge
yaadein,yaad aati hai (song),The song Yaad Aati Hai is a part of the soundtrack album for the movie Yaadein.
yaadein,anu malik,Anu Malik composed the music for the movie Yaadein.
yaadein,subhash ghai,Subhash Ghai is the producer of the movie Yaadein.
aks (2001),anu malik,Anu Malik also composed the music for the movie Aks (2001).
yaadein,sukhwinder singh,Sukhwinder Singh sang two songs in the soundtrack album of Yaadein.
yaadein,udit narayan,Udit Narayan sang two songs in the soundtrack album of Yaadein.
aks (2001),ar rahman,"AR Rahman was initially approached to compose for Aks (2001), but he declined due to prior commitments."
yaadein,chanda taare (song),Sukhwinder Singh and Kavita Krishnamurthy sang the song Chanda Taare from the soundtrack album of Yaadein.
yaadein,alka yagnik,"Alka Yagnik sang in two songs, Eli Re Eli and Chamakti Shaam Hai, from the soundtrack album of Yaadein."
lajja (2001),anu malik,Anu Malik also composed the music for the movie Lajja (2001).
