node_1,node_2,edge
vinod khanna,victor braganza,"Vinod Khanna plays the role of Victor Braganza, who is Naina's father and Charlie's mentor in the movie."
abhishek bachchan,charlie mascrenhas,"Abhishek Bachchan plays the role of Charlie Mascrenhas, who is the team leader and main protagonist in the movie."
bobby deol,ronnie grewal,"Bobby Deol plays the role of Ronnie Grewal, who is an illusionist and magician in the movie."
sonam kapoor,naina braganza,"Sonam Kapoor plays the role of Naina Braganza, who is Victor's daughter in the movie."
bipasha basu,riya thapar,Bipasha Basu plays the role of Riya Thapar in the movie.
neil nitin mukesh,spider,"Neil Nitin Mukesh plays the role of Spider, who is a skilled hacker who betrayed Charlie and his team, Victor and Ronnie's killer and the main antagonist in the movie."
sikandar kher,bilal basheer,"Sikandar Kher plays the role of Bilal Basheer, who is an explosives expert who is deaf in one ear in the movie."
omi vaidya,sunny mehra,"Omi Vaidya plays the role of Sunny Mehra, who is a makeup artist and wannabe actor in the movie."
johnny lever,mc / mangal chopra and bc/budh chopra,"Johnny Lever plays the role of MC / Mangal Chopra and BC/Budh Chopra, who is a mechanic who aids the team with their vehicles in the movie."
vyacheslav razbegaev,general,Vyacheslav Razbegaev plays the role of General in the movie.
sumit sarkar,commissioner of police,Sumit Sarkar plays the role of Commissioner of Police in the movie.
aftab shivdasani,raj malhotra,Aftab Shivdasani is seen as Charlie's friend Raj Malhotra in a special appearance in the movie.
shweta bhardwaj,shaila,Shweta Bhardwaj is seen as Raj's wife Shaila in a special appearance in the movie.
jo holley,head cop,Jo Holley plays the role of Head Cop in the movie.
vicky kaushal,secretary vijay bharasi,Vicky Kaushal is seen as Secretary Vijay Bharasi in the movie.
