node_1,node_2,edge
sidharth malhotra,abhay bunty singh,The movie features Sidharth Malhotra in the lead role as Abhay Bunty Singh.
parineeti chopra,bablli yadav,"In the movie, Parineeti Chopra plays the character of Babli Yadav in a few scenes as Mona Ghosh Shetty."
javed jaffrey,hukum singh,Javed Jaffrey appears in the movie as Hukum Singh.
sanjay mishra,duniya lal yadav,Sanjay Mishra plays the role of Duniya Lal Yadav in the movie.
aparshakti khurana,santosh pathak,The character Santosh Pathak is played by Aparshakti Khurana in the movie.
elli avram,zilla,Elli Avram features as Zilla in the movie.
ruslaan mumtaz,kush,Ruslaan Mumtaz plays the role of Kush in the movie.
chandan roy sanyal,guddu,"In the movie, Chandan Roy Sanyal essays the character of Guddu."
neeraj sood,pathak ji,The movie has Neeraj Sood portraying Pathak ji.
arfi lamba,jeetu,Arfi Lamba is seen as Jeetu in the movie.
yogita rathore,abhay's sister,"In the movie, Yogita Rathore features as Abhay's sister."
sheeba chadda,abhay's mother,The movie has Sheeba Chadda enacting the role of Abhay's mother.
mohit baghel,halla,"In the movie, Mohit Baghel replaces Mohit Daga as Halla."
gopal datt,inspector tiwari,The movie features Gopal Datt as Inspector Tiwari.
aaryan arora,young abhay,"In the movie, Aaryan Arora plays the younger version of Sidharth Malhotra's character Abhay."
anupam mishra,photographer,The movie has Anupam Mishra essaying the role of a Photographer.
sharad kapoor,daddan yadav,"In the movie, Sharad Kapoor is seen as Daddan Yadav."
