node_1,node_2,edge
sohail khan,manav,Sohail Khan played the role of Manav in this movie.
sohail khan,amar khanna,"In the movie, Sohail Khan's character was named Amar Khanna."
isha koppikar,disha,Isha Koppikar portrayed the character of Disha in this film.
anita hassanandani,shanti,Anita Hassanandani appeared as Shanti (credited as 'Natassha' in the film credits) in this movie.
rati agnihotri,sunita menon,"In the movie, Rati Agnihotri acted as Sunita Menon."
vrajesh hirjee,puneet 'talli' kumar,Vrajesh Hirjee appeared as Puneet 'Talli' Kumar in this film.
divya palat,nupur,Divya Palat portrayed the character of Nupur in this movie.
june malia,disha's friend,"In the movie, June Malia played the role of Disha's friend."
hiten tejwani,akshay,Hiten Tejwani acted as Akshay in this film.
alihassan turabi,kabir,"In the movie, Alihassan Turabi appeared as Kabir."
roopa ganguly,the nun of the church,"In this movie, Roopa Ganguly portrayed 'The Nun of the church' character."
rajendranath zutshi,professor siddharth das,"In this movie, Rajendranath Zutshi played the role of Professor Siddharth Das."
rajendra gupta,j.c. college's principal,"In this movie, Rajendra Gupta acted as J.C. College's Principal."
usha nadkarni,disha's mother,"In this movie, Usha Nadkarni appeared as Disha's mother."
