node_1,node_2,edge
emraan hashmi,rajveer 'raju' malhotra,Emraan Hashmi portrays the character of Rajveer 'Raju' Malhotra in the movie.
tusshar kapoor,rajan malhotra,Tusshar Kapoor portrays the character of Rajan Malhotra in the movie.
tanushree dutta,dinky kapur,Tanushree Dutta plays the role of Dinky Kapur in the movie.
isha sharvani,rashmi awasthi,Isha Sharvani portrays the character of Rashmi Awasthi in the movie.
paresh rawal,diwan 'diwanchand' awasthi,Paresh Rawal portrays the character of Diwan 'Diwanchand' Awasthi in the movie.
manu malik,raj basra,Manu Malik plays the role of Raj Basra in the movie.
rakesh bedi,mr. prem malhotra,Rakesh Bedi portrays the character of Mr. Prem Malhotra in the movie.
navni parihar,mrs. prem malhotra,Navni Parihar portrays the character of Mrs. Prem Malhotra in the movie.
anang desai,mr. p.k. malhotra,Anang Desai portrays the character of Mr. P.K. Malhotra in the movie.
prabha sinha,mrs. p.k. malhotra,Prabha Sinha portrays the character of Mrs. P.K. Malhotra in the movie.
kabir sadanand,willyboy,Kabir Sadanand plays the role of Willyboy in the movie.
sushmita mukherjee,prof. bebo chatterjee,Sushmita Mukherjee portrays the character of Prof. Bebo Chatterjee in the movie.
jennifer mayani,jenny,Jennifer Mayani plays the role of Jenny in the movie.
ambika chaudhary,deepti talpade,Ambika Chaudhary portrays the character of Deepti Talpade in the movie.
rajesh balwani,philosophy teacher,Rajesh Balwani plays the role of Philosophy teacher in the movie.
naseer abdullah,psychology teacher,Naseer Abdullah portrays the character of Psychology teacher in the movie.
amita chandekar,prof. julie,Amita Chandekar portrays the character of Prof. Julie in the movie.
ghanshyam garg,fakira,Ghanshyam Garg plays the role of Fakira in the movie.
