node_1,node_2,edge
shashi kapoor,rajeev,"In this movie, Shashi Kapoor plays the role of Rajeev, a civil engineer."
padmini kolhapure,young roopa,Padmini Kolhapure portrays the character of Young Roopa in this film.
zeenat aman,roopa,"In the movie, Zeenat Aman acts as Roopa."
kanhaiyalal,pandit shyam,"Kanhaiyalal depicts Pandit Shyam Sunder, a village priest in this film."
a. k. hangal,bansi,"A. K. Hangal performs the role of Bansi, Roopa's uncle in this movie."
padmini kolhapure,roopa (young),"In this film, Padmini Kolhapure appears as the younger version of Roopa."
david abraham cheulkar,bade babu,David Abraham Cheulkar enacts the character of Bade Babu in this movie.
leela chitnis,bade babu's wife,"In this film, Leela Chitnis portrays the role of Bade Babu's wife."
vishwa mehra,jai singh,Vishwa Mehra appears as Jai Singh in this movie.
sheetal,champa,"In this film, Sheetal enacts the character of Champa."
monika,roopa's friend,Monika appears as Roopa's friend in this movie.
subroto mahapatra,shastry,"Subroto Mahapatra depicts Shastry, Roopa's prospective father-in-law in this film."
javed khan,shastry's son,"In this movie, Javed Khan appears as Shastry's son."
tun tun,fat lady,Tun Tun performs the role of Fat Lady in this film.
