node_1,node_2,edge
"dhananjay ""danny"" jhumbevalkar aka dj",rhea (real name preeti),friendship formed on an airplane
south indian miner,king,gifted a diamond by the South Indian miner to the king
king,british viceroy,received a diamond from the king
british viceroy,sea voyage to britain,"during the sea voyage, the ship sank"
fisherman,master,found the diamond and presented it to his master
master,three sons,distributed the diamond among his three sons
first son,gambling,lost the diamond while gambling
second son,general,lost the diamond to a general
third brother,murder,lost the diamond when he was murdered
uncle (diamond thief),angad (goon),arranged for Angad to steal two of the diamonds from the Belgian museum
