node_1,node_2,edge
katrina kaif,diya kapoor,"In this movie, Katrina Kaif portrays the character of Diya Kapoor in her adulthood."
tunisha sharma,young diya kapoor,"Tunisha Sharma plays the younger version of Katrina Kaif's character, Diya Kapoor."
sidharth malhotra,jai varma,Sidharth Malhotra essays the role of Jai Varma in this movie.
jason dsouza,young jai,"Jason Dsouza portrays the young version of Sidharth Malhotra's character, Jai Varma."
sayani gupta,chitra,"In this movie, Sayani Gupta is seen portraying the character of Chitra."
kirti adarkar,suman,Kirti Adarkar plays the character of Suman in this movie.
taaha shah,tarun bhalla,Taaha Shah portrays the role of Tarun Bhalla in this movie.
rohan joshi,raj,"In this movie, Rohan Joshi plays the character of Raj."
rajit kapur,panditji,Rajit Kapur appears as Panditji in a special appearance in this movie.
ram kapoor,vinod kapoor,"Ram Kapoor essays the role of Vinod Kapoor, Diya's father in this movie."
sarika,varsha varma,"In this movie, Sarika portrays the character of Varsha Varma, Jai's mother."
sagar arya,nikhil khanna,"In the flash-forward scenes, Sagar Arya plays Nikhil Khanna, Diya's second husband."
