node_1,node_2,edge
sunny deol,lal bhaisahab dubey (bhaiaji 3d),Sunny Deol plays the character of Lal Bhaisahab Dubey (Bhaiaji 3D) in the movie.
sunny deol,funny singh (double role),Sunny Deol essays the dual roles of Lal Bhaisahab Dubey (Bhaiaji 3D) and Funny Singh in the film.
preity zinta,sapna dubey,Preity Zinta portrays the character of Sapna Dubey in the movie.
arshad warsi,goldie kapoor,Arshad Warsi features as Goldie Kapoor in the movie.
ameesha patel,mallika kapoor,Ameesha Patel depicts the character of Mallika Kapoor in the film.
shreyas talpade,tarun porno ghosh,Shreyas Talpade essays the role of Tarun Porno Ghosh in the movie.
sanjay mishra,dr. gyan prakash buddisagar,Sanjay Mishra portrays the character of Dr. Gyan Prakash Buddisagar in the movie.
pankaj tripathi,builder gupta,Pankaj Tripathi features as Builder Gupta in the movie.
jaideep ahlawat,helicopter mishra,Jaideep Ahlawat depicts the character of Helicopter Mishra in the movie.
evelyn sharma,stephanie,Evelyn Sharma portrays the character of Stephanie in the movie.
nawab shah,mishra's goon,Nawab Shah depicts the role of Mishra's Goon in the movie.
manoj joshi,police commissioner,Manoj Joshi features as Police Commissioner in the movie.
amit mistry,lucky singh laapata,Amit Mistry portrays the character of Lucky Singh Laapata in the movie.
ranjeet,sapna's father,Ranjeet features as Sapna's father in the movie.
mukul dev,shakeel,Mukul Dev essays the role of Shakeel in the movie.
brijendra kala,3d's uncle,Brijendra Kala portrays the character of 3D's uncle in the movie.
pankaj jha,gupta,Pankaj Jha features as Gupta in the movie.
