node_1,node_2,edge
phir hera pheri,soundtrack album by himesh reshammiya,"The title 'Phir Hera Pheri' refers to a Bollywood movie, and this output is about its soundtrack album composed by Himesh Reshammiya."
himesh reshammiya,music composer,"Himesh Reshammiya is a prominent Indian music composer, and he composed the soundtrack album 'Phir Hera Pheri'."
2006,year of release,The soundtrack album 'Phir Hera Pheri' was released in the year 2006.
t-series,record label,The music label T-Series released the soundtrack album 'Phir Hera Pheri'.
sonu nigam,playback singer,"Sonu Nigam is a renowned Indian playback singer, and he lent his voice to the song 'Phir Hera Pheri' from this album."
shaan,playback singer,"Shaan is a prominent Indian playback singer, and he sang the song 'Dil De Diya' from this soundtrack album."
sunidhi chauhan,playback singer,"Sunidhi Chauhan is a celebrated Indian playback singer, and she sang the songs 'Dil Naiyyo Maane Re' and 'Pyaar Ki Chatni' from this album."
kunal ganjawala,playback singer,"Kunal Ganjawala is an Indian playback singer, and he sang the song 'Dil De Diya' from this album."
arya,playback singer,"Arya is an Indian playback singer, and she provided vocals for the song 'Mujhko Yaad Sataye Teri' from this soundtrack album."
tulsi kumar,playback singer,"Tulsi Kumar is an Indian playback singer, and she sang the song 'Dil Naiyyo Maane Re' from this album."
feature film soundtrack,genre,The soundtrack album 'Phir Hera Pheri' is a part of the soundtrack for the movie 'Phir Hera Pheri'.
