node_1,node_2,edge
akshay kumar,sidhesh 'sidhu' sharma,"In the movie, Akshay Kumar plays the dual role of Sidhesh 'Sidhu' Sharma."
akshay kumar,liu sheng,"In the movie, Akshay Kumar plays a dual role as Sidhesh 'Sidhu' Sharma and Liu Sheng."
deepika padukone,sakhi / miss tsm,"In the movie, Deepika Padukone portrays the character Sakhi / Miss TSM."
deepika padukone,meow meow,"In the movie, Deepika Padukone plays a dual role as Sakhi / Miss TSM and Meow Meow."
ranvir shorey,chopstick,"In the movie, Ranvir Shorey acts as Chopstick."
mithun chakraborty,dada / mr. sharma,"In the movie, Mithun Chakraborty appears in an extended role as Dada / Mr. Sharma."
roger yuan,police inspector chiang kohung,"In the movie, Roger Yuan portrays Police Inspector Chiang Kohung."
gordon liu,hojo,"In the movie, Gordon Liu plays the character Hojo."
kiran juneja,chiang's wife,"In the movie, Kiran Juneja portrays Chiang's wife."
kevin wu,frankie,"In the movie, Kevin Wu acts as Frankie."
conan stevens,joey,"In the movie, Conan Stevens portrays Joey."
