node_1,node_2,edge
thugs of hindostan,soundtrack album,"The soundtrack album 'Thugs of Hindostan' for the movie 'Thugs of Hindostan' was released on 31st October 2018. It is composed by Ajay-Atul, who have also produced this album under their label YRF MusicDivo."
ajay-atul,thugs of hindostan,Composer duo Ajay-Atul have composed the music for the movie 'Thugs of Hindostan'.
yrf musicdivo,thugs of hindostan,The music label YRF MusicDivo has released the soundtrack album 'Thugs of Hindostan' for the movie 'Thugs of Hindostan'.
soundtrack album,thugs of hindostan,"The soundtrack album for the movie 'Thugs of Hindostan' has a total duration of 15:36 and is released in three languages- Hindi, Tamil and Telugu."
dhadak,ajay-atul,Composer duo Ajay-Atul have also composed the music for another movie 'Dhadak'.
vashmalle,manzoor-e-khuda,"Both songs are featured in the film Thugs of Hindostan. 'Vashmalle' is sung by Sukhwinder Singh and Vishal Dadlani, while 'Manzoor-e-Khuda' is sung by Shreya Ghoshal, Sunidhi Chauhan, and Sukhwinder Singh."
vashmalle,suraiyya,"Both songs are featured in the film Thugs of Hindostan. 'Vashmalle' is sung by Sukhwinder Singh and Vishal Dadlani, while 'Suraiyya' is sung by Shreya Ghoshal and Vishal Dadlani."
manzoor-e-khuda,suraiyya,"Both songs are featured in the film Thugs of Hindostan. 'Manzoor-e-Khuda' is sung by Shreya Ghoshal, Sunidhi Chauhan, and Sukhwinder Singh, while 'Suraiyya' is sung by Shreya Ghoshal and Vishal Dadlani."
vashmalle,lori,"'Vashmalle' and 'Lori' are both songs from the film Thugs of Hindostan, featuring Amitabh Bachchan."
suraiyya - tamil,suraiyya - telugu,"'Suraiyya' is sung by Shreya Ghoshal and has different versions in Tamil and Telugu, featuring singers Divya Kumar and Nakash Aziz respectively."
manzoor-e-khuda,majjaare khudaa,"'Manzoor-e-Khuda' and 'Majjaare Khudaa' are both songs featuring Shreya Ghoshal, Sunidhi Chauhan, and Divya Kumar in the film Thugs of Hindostan."
