node_1,node_2,edge
joey king,here is the details of movie's cast:,Joey King is a cast member in the movie being discussed.
julia goldani telles,here is the details of movie's cast:,Julia Goldani Telles is a cast member in the movie being discussed.
jaz sinclair,here is the details of movie's cast:,Jaz Sinclair is a cast member in the movie being discussed.
annalise basso,here is the details of movie's cast:,Annalise Basso is a cast member in the movie being discussed.
javier botet,here is the details of movie's cast:,Javier Botet is a cast member in the movie being discussed.
alex fitzalan,here is the details of movie's cast:,"Alex Fitzalan is a cast member in the movie being discussed and he is also mentioned as Tom, Hallie's love interest."
taylor richardson,here is the details of movie's cast:,"Taylor Richardson is a cast member in the movie being discussed and she is also mentioned as Lizzie Knudsen, Hallie's younger sister."
kevin chapman,mr. jensen,Kevin Chapman plays the role of Mr. Jensen in the movie.
jessica blank,mrs. knudsen,Jessica Blank plays the role of Mrs. Knudsen in the movie.
michael reilly burke,mr. knudsen,Michael Reilly Burke plays the role of Mr. Knudsen in the movie.
