node_1,node_2,edge
mike myers,cat,"Myers played the character of Cat in the movie, implying a strong relationship between the two entities."
smash mouth,getting better,"The song 'Getting Better' by Smash Mouth is featured in the movie, indicating a direct association between the band and the song."
royal crown revue,hey! pachuco! ,"The trailer of the movie includes a version of 'Hey! Pachuco!' by Royal Crown Revue, suggesting a close relation between the song and the trailer."
david newman,movie's music ,"Newman composed the score for the movie, highlighting a direct relationship between the composer and the music."
scott wittman,movie's songs ,"Wittman collaborated with Marc Shaiman to write songs for the movie, indicating a connection between the composer and the songs."
"november 18, 2003",soundtrack,"The soundtrack of the movie was released on November 18, 2003, signifying a direct link between the release date and the soundtrack."
marc shaiman,score (initially),"Shaiman was initially chosen to compose the score for the movie, but due to David Newman's selection, he instead wrote songs with Scott Wittman."
david newman,bmi film music award,"Newman's score for the movie won a BMI Film Music Award, highlighting a direct relationship between the composer and the award."
main title - the kids,getting better,Both songs are played during the opening credits.
no.title,2.,Indicates the second song in the music list.
"""main title - the kids""","""getting better"" (smash mouth)","Both songs are listed with quotation marks, indicating they are song titles."
lennon–mccartney,3.,The Lennon–McCartney songwriting duo is followed by the number three.
david newman,no.title,"All music in the context is composed by David Newman, except where noted."
two things - couch jumping - leaky crate,5.,The title of this segment is followed by the numbers five through eight.
military academy seduction,4.,The title of this segment is followed by the number four.
mrs. kwan - mom leaves,7.,The title of this segment is followed by the number seven.
surfer cat - the phunometer,6.,The title of this segment is followed by the number six.
"fun, fun, fun",8.,"The song 'Fun, Fun, Fun' by Mike Myers is played at some point in the context."
the contract,9.,The title of this segment is followed by the number nine.
"oven explodes - ""clean up this mess!""",10.,Both titles are listed with quotation marks and followed by the number ten.
things wreck the house,11.,The title of this segment is followed by the number eleven.
larry the slob,12.,The title of this segment is followed by the number twelve.
birthday party,13.,The title of this segment is followed by the number thirteen.
s.l.o.w. drive,14.,The title of this segment is followed by the number fourteen.
rescuing nevens,15.,The title of this segment is followed by the number fifteen.
clean up,16.,Both titles are listed with quotation marks and followed by the number sixteen.
