node_1,node_2,edge
the last days of american crime,action,"The Last Days of American Crime is a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name."
the last days of american crime,thriller film,"The Last Days of American Crime is a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name."
the last days of american crime,comic,"The Last Days of American Crime is a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name."
édgar ramírez,star,"Édgar Ramírez stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name."
anna brewster,star,"Anna Brewster stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name."
michael pitt,star,"Michael Pitt stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name."
patrick bergin,star,"Patrick Bergin stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name."
sharlto copley,star,"Sharlto Copley stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name."
olivier megaton,director,"Olivier Megaton directs The Last Days of American Crime, a 2020 American action thriller film from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic."
karl gajdusek,screenplay writer,"Karl Gajdusek writes the screenplay for The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton, based on Rick Remender and Greg Tocchini's 2009 comic."
rick remender,comic creator,"Rick Remender creates the comic The Last Days of American Crime, which is adapted into a film directed by Olivier Megaton in 2020."
greg tocchini,comic creator,"Greg Tocchini creates the comic The Last Days of American Crime, which is adapted into a film directed by Olivier Megaton in 2020."
api signal,u.s. government,"The U.S. government prepares to activate the American Peace Initiative (API) signal, a ‘synaptic blocker’ that will prevent the population from breaking the law."
bricke's crew,bank robbers,"Graham Bricke leads a crew of bank robbers including his brother Rory,"
rory,bricke's crew,"Bricke's crew includes his brother Rory,"
dumois crime family,graham bricke,"Bricke lies to the Dumois crime family that he lost the stolen money,"
money,stolen money,"Bricke saves the stolen money to escape to Canada,"
death,rory,"Rory is killed while Bricke’s crew robs a bank,"
sidell,graham bricke,"Bricke tortures a man named Sidell into confessing that Johnny Dee betrayed him to the Dumois syndicate,"
johnny dee,bricke's crew,"Deceased member of Bricke’s crew, Johnny Dee was betrayed by another member to the Dumois syndicate,"
dumois syndicate,johnny dee,"The Dumois syndicate used Graham Bricke’s crew, including Johnny Dee and Rory, to test the API signal in prison,"
shelby dupree,graham bricke,"Bricke is seduced by Shelby Dupree,"
kevin cash,shelby dupree,"Kevin Cash is Shelby Dupree's fiancé,"
robbery,city’s money factory,"Shelby and Kevin reveal their plan to rob the city’s ‘money factory’ by disrupting an API signal tower and fleeing across the river to Canada,"
api signal,disrupting an api signal tower,causal relationship between disrupting the API signal and the signal itself
billion dollars,stored in facility,location-based relationship between the facility and the stored bills
kevin,heir to dumois family,inheritance-based relationship between Kevin and the Dumois family
shelby,fbi informant,organizational relationship between Shelby and the FBI
api signal,immune to api signal,effect-based relationship between the immune response and the API signal
william sawyer,joins new law enforcement division,employment-based relationship between Sawyer and the new division
rossi dumois,father of kevin,family-based relationship between Rossi and Kevin
lonnie,lieutenant of rossi,hierarchical relationship between Lonnie and Rossi
shelby,taken hostage by lonnie,capture-based relationship between Shelby and Lonnie
ross,infiltrates facility,entry-based relationship between Ross and the facility
shelby,lonnie,pursues and prepares to rape
bricke,kevin,delivers counterfeit money with warheads
kevin,rory,"fights in prison forced by guards with API signal, learns to overcome signal and kills Rory"
