node_1,node_2,edge
thing 1,thing 2,cause destruction and chaos in the house by doing the opposite of what they are told
cat,pinata,disguise as and get hit by children at a birthday party for Sally's former friend Denise
larry,nevins,kidnap and hold captive until the Cat tricks him into giving them back
thing 1,thing 2,pose as police officers to stall Larry and Joan
cat,larry's car,use super-powered car to chase after Nevins and Larry
larry,the cat,"Larry sees The Cat drive past him on a police motorcycle and becomes suspicious. However, The Cat reveals his plan to transform the house into 'The Mother of All Messes' and scares Larry away with purple gooey abyss. Later, Larry realizes that The Cat was behind the entire day's events and becomes angry."
larry,the things,"Conrad poses as police officers with The Things to stall Joan and allow Larry to return home first. Later, Larry races after them on their police motorcycle."
joan,larry,"Joan returns home with Sally while Larry races after her on a police motorcycle. Later, Joan reveals that she understands Larry's nature as a troublemaker but appreciates his nice qualities inside."
conrad,joan,"Conrad resigns himself to the consequences of his actions when Joan returns home with Sally. Later, Joan accepts Conrad's true nature as a troublemaker but acknowledges his nice qualities inside."
the cat,mrs. kwan,"The Cat and the trio ride on Mrs. Kwan to navigate through the surreal house transformed into 'The Mother of All Messes'. Later, when the house collapses, The Cat returns with a cleaning invention to fix it."
joan,larry,"Joan dumps Larry, much to his humiliation and dismay, after he begs her to accept his feelings for him."
joan,house,spends quality time with her children by jumping on the couch with them in the house
humberfloob,joan,congratulates Joan on the clean house
troublemaker,larry,"he is nice on the inside and politely dumps Larry, much to his humiliation and dismay"
