node_1,node_2,edge
movie,summary,A MOVIE is represented through its SUMMARY.
donny berger,mary mcgarricle,"In 1984 Massachusetts, Donny Berger flirts with his middle-school teacher, Mary McGarricle, who seems repulsed by his actions and gives him a month's detention. However, in detention, Mary seduces Donny and they begin a sexual relationship, which is discovered during an auditorium speech. Subsequently, Mary is sentenced to 30 years in prison for statutory rape while the scandal makes Donny famous."
donny berger,famousness,The scandal involving Mary McGarricle makes Donny Berger famous.
mary mcgarricle,statutory rape,"In 1984 Massachusetts, teacher Mary McGarricle is sentenced to 30 years in prison for statutory rape."
donny berger,tax debts,"In the film, Donny Berger has tax debts and tries to earn money by having his televised reunion with his adult son Todd Peterson/Han Solo Berger."
todd peterson/han solo berger,donny berger,"In the film, Todd Peterson/Han Solo Berger is born as a result of the illicit relationship between his father Donny Berger and teacher Mary McGarricle."
todd peterson/han solo berger,donny berger (televised reunion),"In the film, Donny Berger tries to rekindle his relationship with his adult son Todd Peterson/Han Solo Berger in hopes that their televised reunion will earn him enough money to avoid going to prison for his tax debts."
todd peterson/han solo berger,han solo berger,"In the film, Todd Peterson is also known by his stage name Han Solo Berger."
that's my boy,columbia pictures,"That's My Boy was released in the United States on June 15, 2012, by Columbia Pictures."
happy madison productions,that's my boy,"Produced by Sandler's Happy Madison Productions in association with Relativity Media, That's My Boy was released in the United States on June 15, 2012, by Columbia Pictures."
relativity media,that's my boy,"Produced by Sandler's Happy Madison Productions in association with Relativity Media, That's My Boy was released in the United States on June 15, 2012, by Columbia Pictures."
columbia pictures,that's my boy (commercial failure),"That's My Boy was a commercial failure, grossing only $57 million against a $57–70 million budget."
mary,statutory rape,sentenced to 30 years in prison for
mary,pregnant,after Mary is also revealed to be
donny's abusive father,custody of their unborn son,until Donny turns 18 to assume full custody
donny,irs in back taxes,"to avoid spending three years in prison for this,"
donny,8000:1 runner in an upcoming race,places a $20 bet on
todd peterson,han solo berger,"changed his name from Han Solo Berger to Todd Peterson and told others that his parents died in an explosion,"
randall morgan,donny,"offers him $50,00 if he can organize a reunion with Todd and Mary,"
todd peterson,donny,"arrives at Cape Cod. Todd, who did not expect the visit, pretends Donny is an old friend,"
todd peterson,popularity with the guests,"annoyed him. He initially refuses to see Mary,"
todd,mary,"refuses to see Mary, but after Donny convinces Jamie's family to have the wedding rehearsal away from churches and Todd's friends to have the bachelor party at a strip club, Todd reconciles with him and agrees to the prison meeting. However, as a television crew arrives to film in the middle of Todd and Mary's encounter, Todd leaves in disgust without signing a release form."
todd,donny,"refuses to see Mary, but after Donny convinces Jamie's family to have the wedding rehearsal away from churches and Todd's friends to have the bachelor party at a strip club, Todd reconciles with him and agrees to the prison meeting."
jamie,steve,Jamie is having affairs with Steve
jamie,chad,Jamie is having affairs with Chad
donny,jamie,feels guilty for withholding the truth and reveals Jamie's infidelity and incest during her wedding ceremony.
todd,jamie,breaks up with Jamie after discovering her infidelity and incest
todd,han solo,"accepts Donny as his father and reclaims his birth name, Han Solo."
brie,han solo,begins dating strip club bartender Brie
donny,todd,declines the money offered by Han Solo and insists on taking responsibility for his actions.
that's my boy,financial failure,"The film grossed $36.9 million in the US and $57.7 million worldwide, failing to recoup its $57–70 million budget, making it a financial failure."
that's my boy,critical consensus,"Rotten Tomatoes, That's My Boy has an approval rating of 20% based on 115 reviews and an average rating of 3.80/10."
that's my boy,audience grade,Audiences polled by CinemaScore gave the film an average grade of 'B−' on an A to F scale.
adam sandler,that's my boy,"Filming began on May 2, 2011, and ended on July 15, 2011."
adam sandler,financial failure,"The film grossed $36.9 million in the US and $57.7 million worldwide, failing to recoup its $57–70 million budget, making it a financial failure."
adam sandler,critical consensus,"Rotten Tomatoes, That's My Boy has an approval rating of 20% based on 115 reviews and an average rating of 3.80/10."
adam sandler,audience grade,Audiences polled by CinemaScore gave the film an average grade of 'B−' on an A to F scale.
adam sandler,opening weekend,"That's My Boy opened on June 15, 2012, grossing $13,453,714 in its opening weekend,"
adam sandler,studio filming,"Studio filming at Columbia Pictures in Culver City, California."
adam sandler,massachusetts,"Filming took place in Massachusetts,"
rotten tomatoes,that's my boy,That's My Boy has an approval rating of 20% based on 115 reviews and an average rating of 3.80/10.
rotten tomatoes,critical consensus,"Rotten Tomatoes, That's My Boy has an approval rating of 20% based on 115 reviews and an average rating of 3.80/10."
variety,financial failure,"Film critic Richard Roeper gave the film an F, calling it 'an ugly, tasteless, deadly and mean-spirited piece of filmmaking.'"
variety,that's my boy,"Film critic Richard Roeper gave the film an F, calling it 'an ugly, tasteless, deadly and mean-spirited piece of filmmaking.'"
variety,critical consensus,"Film critic Richard Roeper gave the film an F, calling it 'an ugly, tasteless, deadly and mean-spirited piece of filmmaking.'"
cinemascore,that's my boy,Audiences polled by CinemaScore gave the film an average grade of 'B−' on an A to F scale.
statutory rape,child neglect,The film has been criticized for making light of both statutory rape and child neglect.
incest,child neglect,The film has also faced criticism for making light of incest and child neglect.
pathetic,film,Half in the Bag called the film 'pathetic'.
painful,film,Half in the Bag also described the film as 'painful'.
worst film of 2012,film,Justin Chang of Variety called it 'the worst film of 2012'.
shameless celebration of degenerate behavior,film,Justin Chang of Variety also described the film as a 'shameless celebration of degenerate behavior'.
staggering moral idiocy,film,Justin Chang of Variety also labeled the film as an example of 'staggering moral idiocy'.
adam sandler,unable to create humor,Half in the Bag suggested that Adam Sandler was unable to create humor that was not based on childish jokes.
childish jokes,humor,Half in the Bag labeled the humor in the film as 'childish jokes'.
