node_1,node_2,edge
movies,summary,"MOVIES have a SUMMARY associated with them, which is briefly provided to give an idea about the plot and storyline of the movie."
thunderbirds,international rescue,"Thunderbirds is a science fiction action-adventure film based on the television series created by Gerry and Sylvia Anderson. In this film, International Rescue (IR), led by widowed former astronaut Jeff Tracy, operates as a secret organisation that aids those in need."
thunderbirds,jeff tracy,"In the film Thunderbirds, Jeff Tracy leads the International Rescue organisation that operates as a secret organisation to aid those in need."
thunderbirds,hood,The Hood traps International Rescue (IR) leader Jeff Tracy and four of his sons on board the damaged Thunderbird 5 to steal the other Thunderbirds vehicles and commit heists that IR will be blamed for.
thunderbirds,thunderbirds vehicles,The Hood steals the other Thunderbirds vehicles in the film Thunderbirds to commit heists that International Rescue (IR) will be blamed for.
thunderbirds,alan tracy,"In the film Thunderbirds, Alan Tracy and his friends Tin-Tin and Fermat stop The Hood who has trapped International Rescue (IR) leader Jeff Tracy and four of his sons on board the damaged Thunderbird 5 to steal the other Thunderbirds vehicles and commit heists that IR will be blamed for."
thunderbirds,tin-tin,"In the film Thunderbirds, Tin-Tin helps Alan Tracy stop The Hood who has trapped International Rescue (IR) leader Jeff Tracy and four of his sons on board the damaged Thunderbird 5 to steal the other Thunderbirds vehicles and commit heists that IR will be blamed for."
thunderbirds,fermat,"In the film Thunderbirds, Fermat helps Alan Tracy stop The Hood who has trapped International Rescue (IR) leader Jeff Tracy and four of his sons on board the damaged Thunderbird 5 to steal the other Thunderbirds vehicles and commit heists that IR will be blamed for."
thunderbirds,busted,The pop-rock band Busted's song 'Thunderbirds Are Go' is featured in the soundtrack of the film Thunderbirds.
jeff tracy,widowed former astronaut,"In the film Thunderbirds, Jeff Tracy is a widowed former astronaut who leads International Rescue (IR), a secret organisation that operates to aid those in need."
international rescue (ir),jeff tracy,"led by widowed former astronaut Jeff Tracy, operates International Rescue"
tracy family,jeff tracy,widowed former astronaut Jeff Tracy is a part of the Tracy family
thunderbirds,international rescue (ir),technologically advanced machines called Thunderbirds are operated by International Rescue (IR)
tracy island,international rescue (ir),operating out of Tracy Island in the South Pacific
alan tracy,jeff tracy,youngest son of Jeff Tracy
wharton academy,alan tracy,"Alan attends Wharton Academy, a boarding school in Massachusetts"
fermat hackenbacker,brains,son of the Thunderbirds’ resident engineer Brains is Fermat Hackenbacker
lady penelope creighton-ward,international rescue (ir),IR agent Lady Penelope Creighton-Ward is associated with International Rescue
aloysius parker,lady penelope creighton-ward,valet of Lady Penelope Creighton-Ward is Aloysius Parker
tin-tin,tracy family butler kyrano,daughter of the Tracy family butler Kyrano is Tin-Tin
the hood,thunderbirds,psychic criminal mastermind The Hood targets Thunderbirds
thunderbird 1,international rescue (ir),used by International Rescue (IR)
thunderbird 3,jeff tracy,"[{'src': 'Jeff Tracy', 'dst': 'Thunderbird 3'}, {'src': 'Scott Tracy', 'dst': 'Thunderbird 3'}, {'src': 'Virgil Tracy', 'dst': 'Thunderbird 3'}]"
john tracy,gordon tracy,"[{'src': 'John Tracy', 'dst': 'Thunderbird 5'}, {'src': 'Gordon Tracy', 'dst': 'Thunderbird 5'}, {'src': 'Virgil Tracy', 'dst': 'Thunderbird 5'}, {'src': 'International Rescue (IR)', 'dst': 'Thunderbird 5'}]"
submarine,the hood,"off shore from a submarine, The Hood fires a missile into space at the orbiting Thunderbird 5"
thunderbird 5,hood,"The Hood takes over the island's command center and shuts off power to Thunderbird 5, trapping International Rescue all inside."
thunderbird 5,hood's plan,"The Hood plans to use Thunderbird 2 to rob ten of the world's major banks, thus plunging the international monetary system into chaos, with International Rescue held responsible and disgraced."
fermat,thunderbird 2's guidance chip,"Fermat removes Thunderbird 2's guidance chip, delaying the Hood's plan."
alan,hood's minions,"Lady Penelope and Parker receive a distress signal from Tracy Island and fly there in FAB 1, where they engage the Hood's minions in combat."
hood,alan's captured friends,The Hood threatens to hurt Alan's captured friends.
alan,guidance chip,Alan complies and gives up the guidance chip in response to The Hood's threats.
hood,walk-in freezer,Alan and company are locked in the compound's walk-in freezer by The Hood.
thunderbird 2,hood,"The Hood reveals that during one of International Rescue's first operations, Jeff abandoned him in a collapsing illegal diamond mine, but rescued his half-brother, Kyrano."
thunderbird 2,hood's plan,The Hood plans to use Thunderbird 2 to rob ten of the world's major banks.
monorail line,thames,The Hood sinks a monorail line into the Thames and drills into the Bank of England’s vaults.
alan,submerged monorail car,Alan and Tin-Tin rescue the submerged monorail car using Thunderbird 4 before pursuing The Hood.
