node_1,node_2,edge
independence day: resurgence (original motion picture soundtrack),thomas wander and harald kloser,Composed by Thomas Wander and Harald Kloser for the movie Independence Day: Resurgence
white house down (original motion picture soundtrack),thomas wander and harald kloser,Composed by Thomas Wander and Harald Kloser for the movie White House Down
independence day: resurgence (original motion picture soundtrack),sony classical,Released by Sony Classical for the movie Independence Day: Resurgence
independence day: resurgence (original motion picture soundtrack),fox music,Released by Fox Music for the movie Independence Day: Resurgence
electric u,independence day: resurgence (original motion picture soundtrack),Song from the soundtrack of Independence Day: Resurgence
bang bang (my baby shot me down),independence day: resurgence (original motion picture soundtrack),Song from the soundtrack of Independence Day: Resurgence
"june 17, 2016",independence day: resurgence (original motion picture soundtrack),Released on this date for the movie Independence Day: Resurgence
thomas wander,harald kloser,composed the music for Independence Day: Resurgence
sony classical,fox music,released the soundtrack for Independence Day: Resurgence
kid bloom,electric u,performed 'Electric U' in the soundtrack of Independence Day: Resurgence
annie trousseau,bang bang (my baby shot me down),performed 'Bang Bang (My Baby Shot Me Down)' in the soundtrack of Independence Day: Resurgence
david arnold,thomas wander and harald kloser,style and themes of music from Independence Day were kept in Independence Day: Resurgence by Thomas Wander and Harald Kloser
