node_1,node_2,edge
movie,summary,"A movie is presented in this context, and its summary is provided. The summary provides a brief overview of the movie's plot, characters, and other important aspects."
gotti,john gotti,"Gotti is a biographical crime film about the life of John Gotti, portrayed by John Travolta in the movie."
john gotti,victoria,"In the film, Victoria is played by Kelly Preston and portrays John Gotti's wife."
gotti,mobster,"John Gotti was a notorious New York City mobster, and the film depicts his criminal activities."
barry levinson,director,"Initially, Barry Levinson was set to direct the film, but he left the project due to creative differences."
al pacino,actor,"Al Pacino was previously cast as John Gotti in the movie, before being replaced by John Travolta."
"gotti, john","mcbratney, james","In 1973, Aniello ""Neil"" Dellacroce tasks Gotti, a young associate, with killing gangster James McBratney, who is believed to have kidnapped and murdered boss Carlo Gambino's nephew Emanuel."
"gotti, john",green haven correctional facility,"After executing McBratney at a bar, Gotti is identified as his killer in 1974 and sentenced to 4 years at Green Haven Correctional Facility the following year; due to the Gambino family's influence, however, he is released on ""medical furloughs"""
"gotti, john",family's dentist,"He is identified as his killer in 1974 and sentenced to 4 years at Green Haven Correctional Facility the following year; due to the Gambino family's influence, however, he is released on ""medical furloughs"" both for appointments with the family's dentist and for conducting further criminal business, including another hit."
"gotti, john",new york military academy,"Gotti operates out of the Bergin Hunt and Fish Club with his childhood friend Angelo Ruggiero. His oldest son John ""Junior"" Gotti enters the New York Military Academy, but aspires to join the Mafia."
"dellacroce, aniello ""neil""","gotti, john","In 1973, Aniello ""Neil"" Dellacroce tasks Gotti, a young associate, with killing gangster James McBratney, who is believed to have kidnapped and murdered boss Carlo Gambino's nephew Emanuel."
"dellacroce, aniello ""neil""","casso, anthony","Despite Dellacroce's counsel and the assurances of fellow capo Frank DeCicco, Gotti mistrusts the Lucchese crime family's top underboss, Anthony Casso."
lucchese crime family,gambino family,"Despite Dellacroce's counsel and the assurances of fellow capo Frank DeCicco, Gotti mistrusts the Lucchese crime family's top underboss, Anthony Casso."
victoria,"gotti, john","Reunites with his wife Victoria and children at their new residence in Howard Beach, Queens, and becomes a ""made man"", immediately climbing the Mafia hierarchy to become a capo."
frank,"gotti, john","On March 18, 1980, his 12-year-old middle son Frank is accidentally struck and killed by a car"
"gotti, john",mafia hierarchy,"Reunites with his wife Victoria and children at their new residence in Howard Beach, Queens, and becomes a ""made man"", immediately climbing the Mafia hierarchy to become a capo."
"gotti, john",boss carlo gambino's nephew emanuel,"Tasks Gotti, a young associate, with killing gangster James McBratney, who is believed to have kidnapped and murdered boss Carlo Gambino's nephew Emanuel."
green haven correctional facility,"gotti, john","After executing McBratney at a bar, Gotti is identified as his killer in 1974 and sentenced to 4 years at Green Haven Correctional Facility the following year; due to the Gambino family's influence, however, he is released on ""medical furloughs"""
mafia,"gotti, john","His oldest son John ""Junior"" Gotti enters the New York Military Academy, but aspires to join the Mafia."
"howard beach, queens","gotti, john","Reunites with his wife Victoria and children at their new residence in Howard Beach, Queens, and becomes a ""made man"", immediately climbing the Mafia hierarchy to become a capo."
green haven correctional facility,"gotti, john","After executing McBratney at a bar, Gotti is identified as his killer in 1974 and sentenced to 4 years at Green Haven Correctional Facility the following year; due to the Gambino family's influence, however, he is released on ""medical furloughs"""
mafia hierarchy,"gotti, john","Reunites with his wife Victoria and children at their new residence in Howard Beach, Queens, and becomes a ""made man"", immediately climbing the Mafia hierarchy to become a capo."
frank decicco,"dellacroce, aniello ""neil""","Despite Dellacroce's counsel and the assurances of fellow capo Frank DeCicco, Gotti mistrusts the Lucchese crime family's top underboss, Anthony Casso."
lucchese crime family,gambino family,"both families mentioned in the same context, indicating a relationship between organized crime syndicates"
anthony casso,frank casso,"father-son relationship, with Frank's accidental death causing tension"
