node_1,node_2,edge
movies,summary,"A movie is a visual art form consisting of a series of related images which, when shown in succession, tell a story and convey a particular information or message to the audience."
anacondas,blood orchid,"The team of researchers is set for an expedition to search for the Blood Orchid, which they believe will bring humans to a longer and healthier life. Anacondas inhabit the island where they are searching."
new york pharmaceutical firm wexel hall,blood orchid,The team of researchers is funded by New York pharmaceutical firm Wexel Hall to search for the Blood Orchid.
gordon mitchell,cole burris,Gordon Mitchell and Cole Burris are both members of the team searching for the Blood Orchid.
dr. jack byron,captain bill johnson,Dr. Jack Byron convinces Captain Bill Johnson to take an unsafe path during their search for the Blood Orchid.
cole burris,gail stern,Cole Burris and Gail Stern are both members of the team searching for the Blood Orchid.
dr. ben douglas,anaconda,Dr. Ben Douglas is attacked by a giant anaconda while searching for the Blood Orchid.
gail stern,crocodile,Gail Stern falls into the water and is attacked by a crocodile while searching for the Blood Orchid.
captain bill johnson,tran wu,Captain Bill Johnson and his partner Tran Wu take an unsafe path during their search for the Blood Orchid despite their misgivings.
anaconda,blood orchid,"A giant anaconda emerges from the water and swallows Dr. Ben Douglas, who was searching for the Blood Orchid."
anaconda,ben,A giant anaconda emerges from the water and swallows Ben.
team,shore,The rest of the team reaches the shore.
bill,largest snake,Bill assures them that it is the largest snake he has ever seen and that it should take weeks for it to grow hungry again.
team,call off,Most of the team demands that the expedition be called off.
livingston,join,"They call for Bill's friend, John Livingston, who lives on the river, to join them,"
livingston,attacked,Livingston attacked and his boat wrecked.
village,disemboweled anaconda,"They find a small native village and a disemboweled anaconda,"
anaconda,human legs,"A pair of human legs hanging out of the snake's abdomen,"
orchids,food chain,"Orchids are a part of the food chain,"
snakes,unusually long lives,These snakes grow over unusually long lives.
jack,orchids,"Jack realizes the orchids must be nearby,"
gail,orchids,Gail contends that the orchids may not work on humans.
jack,hiding,"Jack still wants to find the flowers, but the others rebel and start building an escape raft to leave the jungle. Gordon discovers that Jack has hidden Livingston's radio and gun."
gordon,paralyzed,Gordon paralyzed using a previously collected spider to stop him from informing the others.
sam,discovering,A suspicious Sam discovers Gordon and the spider bite.
team,anaconda,"An anaconda swallows Gordon alive as she informs the others,"
bill,setting fire,Bill sets the building on fire but notices the snake has escaped.
jack,stealing raft,"Unable to make another raft, they hack through the jungle to beat Jack. Jack, left alone, steals the raft."
fire,snake,escapes from while on fire
jungle,team,hacks through to reach orchids
anaconda,team,falls into cave trying to escape
tran,team,pulled under and eaten by anaconda
bill,flashlight,finds floating in bloody water
cole,team,"escapes from cave, seconds ahead of snake"
log,team,try to reach Sam as it cracks
jack,orchids,forces team to accompany him to
pit,team,team falls into while trying to reach Sam
sam,team,climbs out of pit as snake tries to get her
spider,jacks,escapes from its jar and bites him
jack,pit,falls into and is devoured
gail,snake,tricks into biting team's backpack
anacondas,blood orchids,The ensuing landslide buries the blood orchids after the survivors escape from the pit where they were found.
sam,anacondas,"Sam falls into a pit filled with anacondas, but she manages to climb out of it while one of the snakes tries to get her."
gail,anaconda,Gail tricks the snake into biting their fuel container.
bill,anaconda,"The anacondas try to get Bill, but he and the survivors manage to escape from them."
cole,anaconda,"One of the snakes tries to get Cole, but he shoots a flare that immolates it and explodes the fuel container, killing the other snakes."
nerida tyson-chew,soundtrack,Nerida Tyson-Chew composes the soundtrack for the film 'Anacondas: The Hunt for the Blood Orchid'.
varèse sarabande,soundtrack release,The soundtrack for the film is released by Varèse Sarabande.
anacondas: the hunt for the blood orchid,film debut,The film 'Anacondas: The Hunt for the Blood Orchid' debuts at second place in the box office.
bill,sam,"The survivors of the anaconda attack - Bill, Sam, Cole, and Gail - make it back to the raft and head to Kota Bharu."
roger ebert,film review,Roger Ebert reviews the film 'Anacondas: The Hunt for the Blood Orchid' and awards it two out of four stars.
keith philipps,critic review,Keith Philipps criticizes the film 'Anacondas: The Hunt for the Blood Orchid' for its CGI snakes.
karen karbo,critic review,The Oregonian's Karen Karbo reviews the film 'Anacondas: The Hunt for the Blood Orchid' and says it never 'takes itself too seriously'.
cinemascore,audiences rating,The film 'Anacondas: The Hunt for the Blood Orchid' receives an average grade of 'B' from audiences polled by CinemaScore.
rotten tomatoes,critic consensus,The film 'Anacondas: The Hunt for the Blood Orchid' receives a 26% approval rating based on reviews from 121 critics.
metacritic,average score,The film 'Anacondas: The Hunt for the Blood Orchid' receives an average score of 40 out of 100 based on reviews from 28 critics.
audiences,cinemascore,Audiences polled by CinemaScore gave the film an average grade of 'B' on an A+ to F scale.
film,razzie award,"The film was nominated for a Razzie Award for Worst Remake or Sequel, but lost to Scooby-Doo 2: Monsters Unleashed."
